"sessionId (text)","page (text)","latency (number)","timeOnPage (number)"
38ac5311,query,161,318.571
b95bbe87,explore,30,72.324
b83a13f7,explore,230,70.822
37823f06,query,150,491.171
b8939781,query,55,445.386
b8939781,explore,291,100.978
3908aad1,query,88,489.009
37be0f14,query,98,396.385
b91545dc,explore,22,167.387
390135b5,index,7,35.807
b90406b6,explore,22,135.093
3816e46d,index,7,72.144
b8eb316f,,92,
374be1fd,welcome,10,30.320
b87d0584,welcome,15,28.999
b8ba63bd,,28,
392c2881,query,57,287.349
b8383b21,explore,81,156.909
b7a2c6eb,query,245,332.260
b88bb94b,query,40,425.383
b80dff05,,23,
b7ddbdfa,query,171,370.606
38800455,query,285,367.136
b4a9b492,index,5,50.451
b802791b,,63,
b8c5530a,query,50,423.622
3917cace,explore,110,103.492
3909fcb4,,10,
393cb3c5,query,17,422.367
b90406b6,query,174,359.890
39500b6a,explore,97,107.102
b6a3dff8,query,77,294.618
38323ae2,query,108,347.560
b8ba63bd,query,24,262.194
b9885d9d,explore,96,102.323
391d1347,explore,408,107.297
370e3459,explore,63,99.048
38885716,welcome,39,27.188
36b0ec8e,explore,222,93.531
3889f262,explore,100,77.943
37661fc5,query,81,462.560
b950ab3c,query,24,336.393
39211f19,welcome,12,18.285
392c2881,explore,48,66.166
b7f15888,welcome,39,38.643
38ac5311,query,197,410.733
b813a978,welcome,36,22.260
39035516,welcome,38,22.739
38491a2a,query,64,289.930
b927dc4a,query,29,394.047
38b7b131,welcome,7,19.410
b90674aa,welcome,20,23.736
b8714d14,query,43,374.819
396b35fd,query,19,390.563
37661fc5,query,37,383.269
35543f9a,explore,168,53.818
3887546a,explore,309,133.470
b8549d65,welcome,11,25.747
b7979420,welcome,11,41.518
b8e2a647,explore,96,123.214
38717e29,query,240,315.970
3904fd41,welcome,29,23.770
38b7b131,query,95,303.883
3909fcb4,query,56,323.510
b8eb316f,query,241,486.842
3887546a,query,241,285.144
3843297f,query,224,486.338
b93c44d3,welcome,10,32.087
b7f9396d,welcome,49,31.601
b88bb94b,explore,69,91.310
b8dfa8ea,query,17,409.089
39015c1a,explore,28,144.927
b91c0134,query,84,421.274
b6abe36a,query,272,301.473
370e3459,query,54,346.770
390cc8b3,index,20,21.732
b7f37d19,explore,52,59.176
b88bb94b,query,17,360.710
38346aef,explore,275,62.015
38516867,explore,100,64.471
b88bb94b,query,37,408.987
b8069d21,welcome,7,31.163
3823b826,index,112,48.983
b8f6e53f,explore,22,149.948
b9721abb,index,10,26.590
b821fed6,welcome,66,33.026
38323ae2,explore,214,50.557
b825d13a,query,212,435.442
37661fc5,explore,53,110.989
390cc8b3,query,29,366.804
391aaf9b,query,17,302.105
35879bc3,index,15,41.189
37823f06,welcome,35,16.600
37b7138d,query,82,480.789
39244a12,,49,
38857e4b,query,17,332.681
391947fc,query,139,348.184
391bec26,query,46,355.472
b91c0134,query,90,435.809
383dde3e,query,168,348.185
b812fc1f,query,17,341.580
b83a13f7,welcome,77,36.421
38ac5311,explore,22,144.628
3819acb6,query,25,447.850
3942b00b,explore,44,64.862
b916b847,welcome,210,32.528
b91545dc,welcome,8,29.170
b9007e9e,explore,59,76.209
38cff809,welcome,47,24.964
b9129922,explore,22,121.121
3786edc6,welcome,21,33.599
39500b6a,,45,
b851a1d5,index,12,58.729
b85b2223,explore,93,89.758
b8f63b0b,explore,22,108.961
b83a13f7,welcome,12,21.488
35e641d4,explore,136,93.216
38980291,query,21,467.492
38ac5311,welcome,8,34.225
38b094df,welcome,7,19.059
38b663b2,explore,90,155.085
b894f0c7,query,28,461.349
37823f06,query,17,414.136
391a8556,welcome,22,27.851
374be1fd,query,73,421.549
b90406b6,query,56,406.236
b86654da,index,8,41.031
396389c4,welcome,7,48.111
b8ce4d69,welcome,187,52.430
b9721abb,,67,
b8c6f746,welcome,7,23.436
394b75ed,query,40,263.154
b8982982,query,321,382.447
b8c25005,query,72,307.469
b8efd34b,explore,22,177.762
3889f262,welcome,7,28.383
3942c139,,59,
38e5123b,welcome,23,24.960
396b35fd,explore,61,92.271
38800455,explore,113,110.313
b8cf2084,explore,249,124.566
b8c9549b,query,200,351.218
b7ed8a0e,query,148,322.992
b85ca13c,query,17,359.059
3819acb6,welcome,36,33.420
b8eb316f,explore,64,82.617
38a69115,query,168,346.724
36f82cd3,explore,291,163.321
390d7bef,query,88,370.402
38b3f239,query,49,405.873
b91c0729,welcome,56,27.190
3979c71a,query,79,444.848
b8eb316f,,84,
b81d5589,welcome,24,19.901
b80e1131,query,78,273.164
38601037,query,57,408.008
391d1347,query,109,397.042
b790c673,query,116,397.735
b7008ba3,explore,35,100.768
b6ee888d,explore,97,98.474
b88bb94b,explore,211,124.223
39015c1a,query,48,338.827
b8e586de,query,17,336.780
387e6511,welcome,45,41.591
3917268e,,91,
390246be,,22,
370e3459,query,51,332.656
b802f2cb,query,77,338.855
390246be,explore,26,121.960
b883842e,explore,22,77.237
38b42380,welcome,7,36.842
397fb00d,explore,166,122.486
390f8ce1,explore,68,51.513
b9017c35,welcome,95,28.351
3786edc6,explore,22,122.830
b9721abb,query,78,409.996
b76e9187,welcome,13,41.260
b825d13a,explore,94,112.527
392de0eb,query,72,395.303
37661fc5,query,74,342.103
38346aef,welcome,104,29.064
38d2d781,explore,22,54.148
b93dd894,query,140,316.794
38346aef,query,134,416.841
b7ddbdfa,query,146,452.411
b8a4f47e,query,102,413.373
b8b7106c,query,17,373.551
3819acb6,query,182,471.459
38ac5311,explore,42,81.456
38984925,explore,145,27.643
3909fcb4,query,17,365.763
3970903c,welcome,17,28.764
390f707f,welcome,7,39.849
37661fc5,explore,84,75.480
38de164d,explore,279,89.355
b851a1d5,explore,183,126.373
385880f7,explore,22,120.219
381e162e,index,4,56.975
b8a8eddc,welcome,36,15.056
38c65460,query,17,377.753
b90cf171,query,325,386.563
b74f3339,index,15,65.306
b9885d9d,explore,22,126.339
39244a12,explore,22,180.881
b6a076f7,query,78,333.123
b8e586de,welcome,27,29.326
b924f71e,query,17,337.578
3886474c,explore,86,126.596
b90674aa,welcome,51,34.130
b7ddbdfa,,47,
b90cf171,query,21,405.747
38c534ba,welcome,24,25.637
389073a9,explore,118,102.325
3942b00b,explore,22,143.011
b787c692,welcome,17,32.399
383eeaf4,explore,344,53.390
38323ae2,query,197,446.596
b915b7fc,query,222,404.283
b6f5804d,,28,
381d7dd1,explore,136,135.032
b8dfa8ea,query,45,378.281
b7c35ec2,explore,67,102.989
383a063e,explore,86,132.775
3836208a,welcome,22,26.034
390e1025,query,31,438.428
b89c60d2,welcome,12,36.709
b80dff05,welcome,17,20.887
b93b28d7,query,77,309.969
b6f5804d,query,30,482.090
b8c6f746,query,144,456.118
389073a9,welcome,90,14.612
37a2cd8b,,40,
b93b28d7,explore,47,119.074
37bf6ce5,query,136,376.204
391aaf9b,query,226,450.284
b927dc4a,explore,264,94.394
38b8c16a,,10,
37bf6ce5,explore,40,145.200
b8f3aa35,query,41,282.671
38d9d675,explore,57,145.220
3797d6a7,index,5,46.977
36c947e5,explore,68,127.335
3819acb6,explore,22,138.758
b81d5589,welcome,11,33.989
b9885d9d,explore,94,70.701
375a0fb8,,10,
385880f7,query,17,293.394
b8d5a408,query,201,359.737
38c57123,query,107,318.856
391bec26,index,21,58.975
39211f19,query,49,342.122
38b663b2,query,17,327.142
b91c80f6,query,91,425.477
b77eea9a,query,17,449.332
3887546a,query,78,364.606
b813a978,explore,22,164.615
38d9d675,index,13,50.494
b91c80f6,,23,
b7f15888,explore,166,93.184
38b7b131,query,17,374.107
38e5123b,query,37,346.832
b8b7106c,query,47,425.574
389c6cf3,explore,40,189.346
380e8fdd,welcome,123,18.288
38c46204,welcome,68,41.876
390f707f,explore,93,115.971
b9017c35,,96,
b7dad730,explore,50,77.835
37698621,,38,
38601037,query,17,314.189
b58346af,query,49,484.800
37bf6ce5,query,174,477.577
39244a12,query,43,322.665
b9256e5f,query,46,434.203
b8e6533d,explore,118,86.230
b87903ac,welcome,14,13.885
b84dc3e6,query,97,425.974
39015c1a,explore,22,155.362
b8b677f0,query,48,441.907
38acef48,welcome,7,28.712
38717e29,explore,66,123.615
390653d5,explore,216,109.568
b8325408,welcome,7,30.776
3949d1bf,explore,32,119.979
380cf7b4,explore,178,128.185
b812fc1f,explore,88,114.594
36c2a17d,welcome,7,22.438
380e8fdd,query,23,354.385
380e8fdd,query,64,403.900
b9007e9e,index,16,41.153
b8ba63bd,explore,41,203.405
390f8ce1,welcome,57,31.042
b8031bf9,,16,
b804cad1,query,64,461.150
b825d13a,query,135,431.346
397fb00d,explore,50,47.553
3816e46d,query,21,450.553
3786edc6,explore,100,109.167
38a275ed,query,26,449.562
b812fc1f,welcome,17,33.733
b8c25005,query,60,482.254
3885e011,explore,22,104.443
396b35fd,index,9,78.124
380e8fdd,query,71,479.279
b911246e,query,54,452.260
b8a3b16b,query,65,370.105
36a79d2b,query,31,407.747
b812fc1f,,32,
b8a7b0a3,query,103,337.465
b8f94067,query,21,371.604
b8a7b0a3,query,17,433.316
38de123b,query,23,336.960
b90674aa,explore,204,179.499
b783aac0,explore,22,110.473
358f4768,explore,69,81.377
390135b5,explore,24,210.199
38717e29,explore,906,181.282
37b7138d,query,46,371.558
b89f4473,explore,64,133.608
383a063e,welcome,61,29.256
36c2a17d,query,17,292.793
390d895e,index,5,56.433
b8a3b16b,query,40,389.123
38cff809,query,65,272.867
b89448ed,welcome,33,38.364
b9017c35,explore,505,118.768
b90674aa,index,4,53.092
b883842e,explore,37,143.379
b842c1a4,query,91,245.447
3948d582,,22,
b83257d7,,24,
37b7138d,query,23,334.002
38acef48,explore,27,52.055
390c55bc,,23,
b8714d14,,49,
b8b09a40,query,319,275.320
38a3ae79,welcome,16,29.194
38765ab1,welcome,9,24.447
389a6308,query,81,491.565
b8982982,index,4,51.382
394b75ed,index,6,46.454
b6abe36a,index,4,44.274
38de123b,explore,25,69.890
b8f94067,query,17,455.421
b81b3b82,query,85,443.180
b8275132,query,46,328.203
3917cace,query,17,341.043
3823b826,query,71,360.932
3842a1a0,explore,22,106.198
38cff809,query,35,470.907
b8c22876,query,198,370.382
b916eb9a,query,107,412.193
3583d69f,explore,22,94.899
374f8900,query,63,416.450
38713c1f,query,106,427.188
390f707f,query,22,420.226
b8ef6134,query,142,354.128
b8992f5d,query,136,474.877
b802f2cb,welcome,7,46.511
358f4768,explore,29,54.993
b80018bd,explore,59,65.810
b8939781,explore,102,191.360
b76e9187,explore,50,142.361
b894f0c7,query,39,510.362
38c534ba,explore,51,191.567
b74f3339,index,5,50.323
b8a7b0a3,welcome,23,34.861
b896f0d6,explore,53,111.868
b787c692,index,25,30.968
b8992f5d,,97,
b8efd34b,query,17,263.097
38ef5d14,welcome,34,28.726
b783aac0,explore,61,144.820
b74f3339,explore,157,67.878
35e641d4,query,17,389.706
3583d69f,explore,22,104.118
38ac5311,query,29,454.411
b8b09a40,query,82,243.842
381d7dd1,,33,
b849771b,explore,27,101.983
3766a4dd,query,199,286.853
b883842e,explore,178,36.167
3836208a,query,17,385.914
b783aac0,,202,
3842a1a0,query,101,319.164
35879bc3,query,117,486.704
b8a3b16b,index,4,68.003
b8515a47,query,78,450.613
392caf1a,welcome,50,38.089
b8c5530a,welcome,7,43.542
b860b8ce,welcome,7,21.467
36b27679,explore,22,71.711
b83d2de5,welcome,192,36.949
3797e298,query,22,461.218
3942b00b,explore,102,150.456
390f707f,query,28,417.938
38b8c16a,welcome,26,31.956
374be1fd,explore,22,71.462
3949d1bf,explore,111,144.180
3797e298,explore,24,84.301
37edb6b8,query,19,418.794
37eb0599,query,23,390.277
39244a12,query,302,492.911
b88bb94b,query,17,325.455
36c947e5,welcome,61,35.195
3942c139,query,69,279.331
b70ea5fb,explore,208,44.392
389e3061,explore,57,132.066
b91c0729,index,6,71.693
b8ef6134,index,29,70.479
36b27679,query,215,270.396
b894f0c7,welcome,25,38.932
b8a03570,query,241,295.371
b7dad730,welcome,9,39.785
b842ae26,,326,
b8c22876,query,60,371.697
b821fed6,explore,32,117.697
39244a12,query,46,381.733
381e162e,explore,22,153.344
39244a12,explore,58,59.132
38a46750,explore,144,79.868
b9885d9d,welcome,7,27.001
b8dba31e,explore,22,43.473
b852ed16,query,124,388.111
38e5123b,query,160,388.564
b787c692,,72,
38346aef,query,82,329.345
b89ec9cf,query,105,340.015
38516867,explore,36,37.048
b70ea5fb,query,30,282.182
b8b97ca4,query,282,402.261
b8901c65,explore,47,110.477
38323ae2,query,131,411.929
38ac5311,explore,22,44.351
374be1fd,query,17,402.773
b8275132,query,127,391.986
b851a1d5,query,115,395.068
b4a9b492,welcome,64,19.576
b8d3996f,index,6,41.334
b9129922,welcome,7,3.812
b931a4ef,explore,162,98.833
37661fc5,welcome,11,39.421
b91c80f6,welcome,73,21.742
b7cdbed1,query,21,376.141
3823b826,,10,
37661fc5,query,100,453.126
b79d6170,,106,
37661fc5,query,64,309.286
358f4768,query,29,366.344
b7a2c6eb,query,65,438.647
b917fd2e,,33,
392b1835,welcome,15,37.627
374f8900,query,183,363.081
b58346af,query,64,407.907
b884458d,index,12,54.415
38a9bf72,welcome,18,41.723
b894f0c7,explore,22,118.687
38c466e6,,16,
388d02e8,explore,356,142.864
380e8fdd,query,51,387.884
b953da19,query,72,281.493
b927dc4a,explore,150,100.472
37661fc5,query,50,219.158
b7a9727b,,10,
38f0dc34,explore,22,134.091
392c2881,explore,43,77.114
b825d13a,explore,99,59.963
b91f4de8,welcome,50,16.928
b8383b21,query,59,376.024
b8a03570,index,5,37.456
b80dff05,query,102,357.192
b916b847,query,119,443.105
b9885d9d,,18,
38a3ae79,welcome,61,30.542
38e48b29,explore,41,121.902
b95bbe87,explore,69,99.666
38765ab1,,65,
b8e2a647,explore,121,97.397
37a2cd8b,explore,178,166.286
b83257d7,,92,
36f82cd3,welcome,7,42.847
b8982982,explore,22,133.557
b927dc4a,,44,
38713c1f,welcome,105,32.109
b857b5e3,query,213,457.119
b7dad730,welcome,7,34.027
b7f37d19,welcome,47,31.592
b882dce4,,22,
b8c6f746,,65,
b85b2223,query,135,467.961
b851a1d5,query,83,309.674
390f8ce1,query,17,515.456
b8b47609,explore,227,122.746
3583d69f,query,23,412.747
36f82cd3,query,60,462.423
391a8556,explore,76,155.724
39035516,explore,22,112.972
380cf7b4,query,54,372.389
391a8556,query,24,425.777
389c3fbf,query,63,297.885
38e5123b,explore,22,34.899
39454d0e,query,23,447.712
b8f6e53f,welcome,11,42.728
381e162e,query,72,403.808
38a46750,,25,
3917cace,explore,321,82.930
3917cace,explore,40,88.251
b84dc3e6,index,7,43.921
b860b8ce,query,76,367.645
b804cad1,explore,58,136.977
37c41fa9,explore,66,94.973
3819acb6,query,39,407.663
397fb00d,explore,230,49.501
392f1857,explore,100,153.880
392de0eb,query,207,485.804
391a8556,explore,71,162.581
b8268b46,,54,
b95bbe87,,116,
b7cdbed1,query,17,328.106
3942b00b,index,23,55.238
38c65460,explore,29,133.851
b87903ac,,10,
38e48b29,welcome,7,22.657
391d2550,welcome,30,20.239
3917268e,index,49,45.950
b8549d65,query,168,349.104
38885716,welcome,7,24.331
b8a3b16b,,17,
3895646c,index,34,51.522
b7f15888,index,35,60.150
b6969284,index,18,67.533
b8cf2084,explore,22,104.815
3823b826,welcome,33,23.485
391587f7,,62,
38a69115,query,17,319.450
b7c35ec2,explore,22,93.993
38717e29,,24,
38631bbe,welcome,40,21.867
3820a503,query,17,452.054
b8a03570,query,206,419.840
3917268e,explore,22,128.556
38e5123b,query,309,325.749
38491a2a,index,4,82.920
3942c139,explore,44,163.505
b8383b21,welcome,7,42.054
39211f19,explore,142,104.665
b802791b,,104,
b8c25005,query,233,270.902
b70ea5fb,welcome,22,30.601
380b029e,explore,168,106.037
b8dfa8ea,,30,
380e8fdd,welcome,33,22.518
b931a4ef,query,257,389.628
b8a8eddc,query,97,366.183
3942c139,query,17,424.881
36c2a17d,query,185,365.018
b804cad1,explore,441,212.617
b7f15888,query,120,337.802
37edb6b8,query,35,436.282
b8f0962d,explore,329,143.140
36c2a17d,explore,65,119.555
390e5d1b,explore,22,119.686
b89ec9cf,welcome,13,48.520
b809a4da,query,17,370.419
39448ab1,,78,
b8c5530a,welcome,32,36.917
385880f7,explore,46,103.910
3979c71a,query,127,330.060
b92465d5,index,16,32.064
b8549d65,query,22,426.501
392de0eb,query,142,400.041
b8c22876,query,67,469.982
3887546a,query,122,395.586
b90674aa,explore,22,158.720
3886474c,explore,77,158.331
38346aef,welcome,104,20.127
b802f2cb,explore,90,132.553
380cf7b4,query,95,381.727
b92d835c,index,45,35.195
b8275132,query,17,334.062
b8b97ca4,explore,211,101.810
b860b8ce,explore,174,165.495
b812fc1f,query,177,404.930
390d895e,,10,
b85b2223,query,39,389.955
b90674aa,index,6,43.268
38a69115,query,253,394.738
b91c0729,explore,104,79.983
b812fc1f,explore,22,209.216
b84d8554,query,243,440.905
38516867,index,20,34.888
394b75ed,explore,22,182.269
38a3c7d8,explore,28,103.945
b88bb94b,explore,78,180.712
38b7b131,query,102,367.957
388b3a69,query,37,324.484
390f8ce1,query,22,404.899
38885716,index,12,28.729
37a2cd8b,explore,69,105.701
37c41fa9,explore,22,115.929
36c2a17d,explore,39,69.963
3917cace,index,4,37.397
385880f7,query,17,355.638
b8f94067,query,651,388.348
b8b09a40,query,93,515.907
37661fc5,welcome,66,15.318
b883842e,welcome,53,35.626
b7964882,explore,139,58.224
b89448ed,explore,25,34.669
38491a2a,query,63,464.414
38e5123b,welcome,144,26.613
b783aac0,query,273,319.930
b91545dc,explore,30,99.144
3885e011,,53,
395032f5,query,77,418.178
b8cf2084,,58,
37edb6b8,query,17,422.996
b84dc3e6,explore,54,157.755
b8eb316f,query,31,410.940
b8a8eddc,,89,
b77eea9a,query,221,366.795
362f6947,query,109,425.704
35e641d4,query,62,408.759
389073a9,explore,189,73.082
b9158040,query,132,390.456
391947fc,explore,22,112.089
38c534ba,query,89,371.990
3904fd41,welcome,18,27.218
3843297f,index,4,59.609
3917cace,query,17,394.552
b92bdce9,explore,391,124.027
39448ab1,welcome,44,42.740
38713c1f,welcome,11,30.480
390246be,explore,22,150.541
375a0fb8,query,17,290.527
b8031bf9,query,17,458.624
3786edc6,index,14,64.522
b9129922,query,109,360.048
3917268e,,24,
b9017c35,explore,72,153.891
380e8fdd,query,36,290.791
b8e586de,query,61,397.892
b92bdce9,welcome,47,25.537
38516867,index,7,54.496
b79d6170,explore,22,152.479
391587f7,query,17,294.182
b9885d9d,welcome,56,29.248
b7a9727b,explore,45,115.541
b90e8f0c,query,44,352.951
b91f4de8,query,50,320.469
395032f5,query,21,440.609
39454d0e,welcome,115,33.817
b8899f23,query,53,302.907
b90b1b43,,167,
38857e4b,query,62,389.868
b83a13f7,index,61,54.328
39448ab1,explore,22,116.359
374be1fd,explore,250,69.135
b80dff05,explore,570,128.579
39448ab1,explore,196,119.196
374be1fd,index,37,28.460
b7f37d19,explore,58,175.792
391d2550,explore,35,168.599
b8f63b0b,index,24,78.136
390f707f,explore,168,99.106
b83257d7,explore,269,58.725
396b35fd,query,17,491.766
38d99f08,explore,74,40.324
b812fc1f,,32,
b8ba1a52,index,9,58.533
b8a03570,welcome,7,35.572
3917268e,query,46,411.905
381e162e,query,96,431.130
38a3c7d8,welcome,70,25.618
b790c673,explore,104,83.775
38a69115,explore,22,58.926
38d0de9a,explore,103,17.669
3948d582,query,36,431.639
b58346af,query,17,440.706
38333ce3,query,139,304.723
b93dd894,query,70,333.944
b9219347,explore,70,103.720
3816e46d,query,273,394.571
37485290,query,37,327.501
b6f5804d,explore,115,92.241
38491a2a,query,298,403.231
397fb00d,explore,104,165.903
b6f5804d,welcome,17,25.972
b851a1d5,welcome,7,24.105
3917cace,explore,29,134.593
b80b7d64,,20,
38a9bf72,,10,
b6abe36a,explore,46,94.020
b7f37d19,index,33,55.207
387e6511,query,35,378.897
b92d9cfe,explore,22,189.425
38d7b07c,query,73,318.551
b95bbe87,query,49,354.474
3950564d,index,4,28.573
390653d5,query,17,377.037
b93c44d3,welcome,7,27.902
374be1fd,index,4,59.714
37b4e37c,explore,76,131.789
38de123b,index,4,50.216
b9721abb,query,281,402.330
b7cdbed1,query,18,307.105
b80e1131,query,73,401.766
390246be,query,20,455.700
38800455,,122,
b857b5e3,welcome,39,28.652
b909c26c,welcome,46,33.811
390d7bef,welcome,8,37.525
396389c4,explore,64,99.698
b7ed8a0e,index,39,59.820
b983466d,query,162,406.161
38f0dc34,welcome,7,32.816
3820a503,query,148,375.912
386152e9,welcome,70,38.983
38a9bf72,explore,116,88.494
38ac5311,query,17,393.165
393abff5,query,299,313.667
b89f4473,welcome,7,35.059
396389c4,explore,39,71.150
392b1835,explore,337,140.626
38516867,query,35,513.974
38d0d557,explore,22,149.949
38b42380,query,171,452.557
38acef48,explore,100,97.622
b9051627,query,54,365.668
b953da19,query,72,364.310
38d2d781,query,41,401.507
362f6947,welcome,31,15.583
b91c0134,welcome,64,16.631
35e641d4,query,83,302.906
b882dce4,query,43,268.971
b8e6533d,query,22,346.596
38d9d675,explore,23,92.043
3909fcb4,welcome,14,32.394
