"sessionId (text)","page (text)","latency (number)","timeOnPage (number)"
b91af4ab,welcome,80,27.185
b85bcc4e,explore,117,99.309
38c80056,welcome,15,29.689
b943987a,query,17,417.370
b85b0e88,query,65,358.208
b7e046f3,query,17,451.542
b8f2f05a,explore,22,116.176
b858d797,explore,44,84.400
3917a7ea,query,73,364.005
b6fd8074,index,36,67.311
38908b3d,welcome,63,32.360
b8571640,welcome,8,20.497
b85aa33b,explore,111,103.551
37155b24,query,444,357.844
b88cec38,index,18,60.102
b75ae6f9,query,197,313.822
35f35bc5,query,30,331.421
b86e1c32,query,17,334.003
38bd3dd9,explore,42,62.904
b8fbb05a,explore,260,71.991
387a693d,explore,78,89.791
b797ad79,query,41,361.707
b866124f,query,27,302.669
3826f7c3,query,49,474.744
389be43a,explore,79,100.908
b7f5fcff,query,112,380.755
385131c9,query,35,284.063
b92c2cc4,explore,206,126.526
3836adc1,,27,
b85f2d16,welcome,17,33.964
3826f7c3,welcome,94,27.168
381a9191,,116,
b81e144e,index,13,44.161
38737cb7,query,31,365.561
391bab8d,query,145,358.452
382d28b2,query,179,420.399
38bd3dd9,query,33,446.796
387e0339,welcome,11,23.599
380e76e5,explore,22,195.187
388ab882,query,136,296.068
383d1efe,explore,42,117.938
380270e6,explore,22,160.903
b7f5fcff,query,135,482.849
38ba0efe,index,38,52.494
390a3437,explore,70,49.434
39224ed6,query,39,379.932
380270e6,explore,34,160.328
3794d5b0,query,104,361.984
37f6eef3,welcome,39,21.418
3941a876,query,179,407.070
b9321f56,query,17,393.533
b8aecf5c,query,75,405.067
37c1cf55,,26,
b85b0e88,welcome,37,11.258
b768570d,query,46,334.275
b797ad79,welcome,22,29.029
3785c0d6,welcome,21,43.771
38055f58,query,17,341.188
38aced5b,explore,23,135.802
b891e74d,query,359,349.776
b963bab3,welcome,117,46.457
3726cc1f,welcome,25,30.132
b946dde1,explore,52,81.916
378e51c0,,71,
b7e142d9,explore,312,145.541
b75ae6f9,explore,143,107.028
3884d93f,explore,22,101.602
b946dde1,query,196,292.054
b7ff443b,welcome,40,15.847
b963bab3,welcome,66,32.378
b77845c4,explore,164,131.633
38e4b8d0,query,78,298.662
378e51c0,welcome,35,42.945
3919d2b8,query,156,420.612
b912f681,query,67,356.283
37b1e3d8,index,7,42.939
3803d365,welcome,14,23.774
3932d48d,explore,74,57.053
b7cb6cd3,query,28,411.604
36fcc444,explore,22,82.334
393902b9,welcome,7,15.834
b8927d2a,welcome,27,31.637
390e01f6,explore,84,75.173
38c80056,explore,158,171.234
38b5bdc6,query,147,415.976
38a1d953,query,126,445.038
b71e4a2f,welcome,165,28.420
38aebd9d,query,185,422.855
b94efb7e,query,26,393.384
37ad4bb0,explore,150,221.699
387256e1,explore,67,133.677
b930a379,query,89,448.237
380e5166,explore,413,75.088
378727cf,explore,22,116.149
b912f681,explore,415,127.285
b83878e0,query,17,437.635
b891e74d,query,81,380.274
b85b9a21,explore,115,112.325
b8e14c8d,index,15,30.751
38d352e7,query,169,266.361
39355fb2,query,25,344.190
388ab882,query,87,428.778
b876c3d5,query,54,248.542
b85ecb74,welcome,41,33.606
3569c15e,welcome,134,18.378
36cec674,explore,108,103.484
b95bf8b2,welcome,46,36.469
b8d7aeb3,welcome,7,47.985
38f4af8f,welcome,92,33.333
383d1efe,explore,22,99.839
b8660a28,query,190,415.782
370d5c5c,index,4,34.310
b89e37f8,query,32,359.395
b91c111d,explore,190,95.278
38ac031d,query,133,370.742
37ad90cf,explore,33,130.998
3762ca0a,welcome,122,46.393
b8f830ef,explore,53,160.625
b866124f,index,4,64.169
b7f5e8cc,explore,107,63.383
b903f2ce,query,17,320.869
b85aa33b,query,26,354.925
38f600f4,welcome,12,21.637
389be43a,welcome,30,27.429
37ad90cf,query,89,485.818
39000f3d,welcome,60,17.838
389b678c,,102,
36124c2e,query,91,314.664
388ab882,welcome,49,31.856
b93c986d,query,91,366.199
37bbd429,query,155,382.087
b946dde1,query,274,440.447
3929d239,explore,308,157.188
b86d790b,explore,22,45.017
3869f186,query,99,249.540
37ed953d,query,212,357.059
b72c3ec0,explore,48,119.878
b929e1a8,explore,168,56.269
3836adc1,query,43,484.047
b95d5406,query,31,398.955
380e76e5,welcome,7,42.448
b90cfdc5,,91,
393902b9,explore,236,139.270
37f6eef3,query,44,310.562
b8e792a8,query,261,425.661
35f35bc5,explore,113,123.363
37c7cb8b,,50,
370066d1,explore,110,122.858
37b91f73,query,78,315.298
37dcf7ac,query,76,360.792
b8fa09b8,query,152,232.779
398b9355,query,37,402.656
3900c784,welcome,7,30.825
382682ec,query,23,310.861
b8860a5d,,25,
b7e311d1,query,17,391.076
398151a4,explore,99,115.012
3792dc7e,welcome,7,31.399
b80f4cdb,explore,149,124.565
37b1e3d8,welcome,19,27.176
b3d96130,query,39,395.879
3834ebb4,query,189,399.906
37539020,query,44,261.008
38a26360,,30,
b888097b,explore,410,120.828
37ad90cf,explore,22,87.751
370066d1,welcome,29,24.493
b7fef8a7,query,53,261.595
3960a2b0,index,51,51.354
3941a876,explore,26,112.609
38bd3dd9,welcome,33,33.026
37ec6647,query,17,356.589
38eb8fd2,explore,49,93.836
b92d477d,explore,22,110.617
380c2bb7,welcome,66,29.515
b802772a,query,51,383.117
b89f99af,explore,114,143.240
b797ad79,query,68,338.050
b8f74b43,welcome,27,24.650
38487cd6,query,146,431.620
b80f4cdb,explore,145,136.411
b8fa09b8,explore,91,125.512
38737cb7,query,17,401.071
38afb70e,query,85,403.029
b8de2609,query,170,433.385
38eb8fd2,explore,144,124.957
b891e74d,query,128,309.737
387a693d,explore,255,95.071
385c9181,query,21,336.606
36fcc444,query,76,344.572
3569c15e,query,673,296.773
b88cec38,query,34,382.613
38c80056,query,363,238.132
387a8f1f,explore,172,146.669
b800d5e2,welcome,7,44.838
b85b9a21,explore,51,64.513
b7d35888,query,28,477.570
389e59a0,explore,79,56.390
b85aa33b,welcome,46,39.732
b91008bf,query,27,387.589
360d9967,,20,
b8cba1ea,query,17,330.900
b8c4a9b3,query,83,272.621
b847509d,,14,
b845ade7,query,291,322.913
b9084a36,,44,
b81e144e,explore,28,113.751
387a8f1f,welcome,15,28.110
b963bab3,welcome,32,33.490
38c0546f,explore,135,117.224
b895f7c2,explore,26,72.454
3865a60f,query,67,389.077
3929d239,query,17,348.524
380fd71c,welcome,130,26.026
b8900d87,,210,
38e4b8d0,query,50,373.572
3726cc1f,,42,
38aced5b,welcome,29,20.967
b790afc9,query,104,392.064
b94efb7e,explore,92,118.013
b588a104,query,17,401.260
b79d8fe6,welcome,23,41.414
389e59a0,explore,41,141.469
b71a97e8,index,7,61.988
396f9163,explore,162,127.795
3874e6cd,welcome,36,38.631
380e5166,query,288,318.333
b92fc5f0,query,104,377.241
37fc0708,query,56,363.725
386a0b12,query,57,349.625
3932d48d,explore,112,99.526
378e51c0,index,65,69.823
38f4af8f,explore,22,183.380
38941c18,index,10,49.094
b9321f56,explore,63,149.829
3845864b,index,18,57.555
b912f681,welcome,71,25.395
3874e6cd,query,335,328.931
380c2bb7,query,117,320.314
b95d5406,explore,87,260.376
b847509d,explore,69,116.340
b8fbb05a,query,29,343.464
b6b176aa,explore,55,149.984
b946dde1,index,38,61.588
389b678c,welcome,42,34.016
b83a6044,explore,187,108.432
b86ad2f3,index,9,15.568
38fa3c71,query,99,442.288
36cec674,explore,410,33.909
b8597376,query,135,342.802
b9084a36,welcome,65,15.489
38f034ff,query,56,280.384
38f68c15,explore,22,112.413
383f50cb,,13,
38f68c15,query,17,381.190
b71e4a2f,query,71,387.257
382d28b2,query,45,255.868
38c0546f,explore,27,179.496
372ce1a8,,11,
370d5c5c,query,289,447.533
385f5a4a,explore,22,113.762
398b9355,explore,50,60.331
38bd3dd9,query,92,342.846
b903f2ce,,193,
37b1e3d8,explore,70,105.764
b7d35888,,37,
370066d1,welcome,7,31.125
3844818b,explore,115,92.497
b8b742d2,explore,123,124.549
b8db26f9,query,168,296.758
b9321f56,explore,138,134.431
38d79420,explore,22,165.801
3869f186,,77,
b86d9dc1,query,82,334.284
b8e8b663,,10,
b8660a28,welcome,90,38.737
37ccaef7,query,17,415.013
39049659,explore,75,124.516
3794d5b0,query,17,358.277
b81e144e,query,69,390.123
b79d8fe6,query,19,408.097
b7ff443b,explore,79,102.090
b975a4a0,explore,157,118.805
37c7cb8b,query,53,305.645
b90fc9aa,explore,22,83.207
3884d93f,query,503,382.172
b883223f,welcome,7,27.477
b888097b,explore,22,135.512
37539020,query,27,376.481
b84b8870,query,17,421.195
b92f1272,query,63,389.331
b85b9a21,query,94,407.569
b797ad79,explore,274,96.299
b7dbd172,query,47,338.640
38ed7c67,welcome,21,39.219
b659f6b0,explore,105,62.358
38f68c15,explore,248,92.176
38908b3d,query,17,389.759
b8a5e039,explore,78,84.987
38a07376,explore,304,98.542
388ab882,explore,116,142.606
38cc91c1,,43,
385c9181,index,45,18.147
b818edf3,explore,42,107.035
b71e4a2f,,17,
b8767f5c,query,49,378.861
b858d797,explore,22,93.125
381295ed,query,97,298.206
374e965b,welcome,33,14.152
374e965b,welcome,116,38.149
38e4b8d0,query,23,333.278
382d28b2,explore,76,113.445
37c8b5dc,query,39,372.966
b818edf3,query,17,431.374
372ce1a8,explore,67,147.920
390a3437,query,18,346.337
39221e65,explore,117,162.980
3917a7ea,welcome,7,11.321
b93c986d,explore,34,115.552
b91c111d,query,58,373.104
37ed953d,explore,43,49.559
b7a78440,query,17,430.071
b8b742d2,query,81,424.851
37ad90cf,query,35,269.536
38a575d0,query,46,434.726
3869f186,query,396,382.158
378925ed,query,55,384.223
b8b742d2,index,24,40.901
b93c986d,query,51,310.226
372ce1a8,welcome,70,25.850
3900c784,explore,60,184.151
38565837,query,121,420.738
b8597376,welcome,32,44.121
3505fbaa,,31,
389e3e52,query,206,403.631
b835f7f1,explore,39,142.724
38f4af8f,explore,72,138.158
38eb8fd2,explore,25,161.712
b71ae5ad,explore,22,103.919
38b8dbce,query,32,273.408
38e816de,explore,50,140.165
393a3727,welcome,72,28.166
38afb70e,welcome,69,37.260
b78cacbd,index,12,52.758
b90cfdc5,explore,24,131.745
b85995b2,explore,22,81.071
37b91f73,explore,130,176.758
b88c0eb2,query,85,352.385
3794d5b0,query,85,448.130
b8cba1ea,query,132,465.547
b7e046f3,explore,111,150.824
3845864b,query,154,377.109
b88f4fdd,,24,
3884d93f,query,199,302.351
38a07376,query,116,404.082
b8891335,welcome,7,29.799
b75ae6f9,explore,281,91.599
381f446e,explore,277,136.458
b81bc207,,43,
b91c111d,query,113,491.929
b7309af4,explore,233,128.068
b8b742d2,query,79,435.919
39090f5c,explore,34,122.320
b78ce930,index,31,33.606
b790afc9,query,27,331.170
b76c6ced,welcome,7,28.206
3898cf4b,explore,345,67.676
38bd3dd9,,56,
b88c0eb2,explore,181,107.027
b88b101c,explore,50,73.700
b80a284d,,25,
b845ade7,index,4,39.632
b813e095,,45,
38d263e1,explore,351,74.436
b7cb6cd3,,17,
b94efb7e,explore,353,93.629
b7fef8a7,query,35,332.601
b8de2609,query,60,418.081
b768570d,welcome,79,42.651
37c7cb8b,,61,
380fd71c,query,28,349.904
b883223f,query,166,464.131
b7309af4,,167,
380e5166,explore,44,158.561
38a1d953,,174,
372ce1a8,query,59,487.038
384cef7c,query,143,421.378
38aebd9d,query,38,331.855
391afd04,query,232,426.759
3884d93f,query,35,383.548
37155b24,welcome,86,22.454
b71eab1e,welcome,7,25.462
389be43a,query,90,402.750
b903f2ce,query,136,505.345
b7f87489,explore,51,133.289
36cec674,query,30,480.526
b91b3afb,query,128,252.659
b7e311d1,welcome,7,29.773
b7e046f3,query,138,299.952
b8c198f9,welcome,24,25.540
b8bd209b,welcome,41,30.728
b85995b2,welcome,7,29.331
b3d96130,explore,147,82.341
38bfbe11,query,30,311.620
b925ee45,query,188,314.347
38055f58,,28,
37ad4bb0,welcome,7,19.339
38d263e1,query,43,318.123
b9321f56,explore,76,111.767
b92fc5f0,query,86,414.083
380e5166,welcome,56,28.867
38a3efc1,query,73,314.637
b943987a,explore,472,104.646
38eb8fd2,query,52,389.395
b95d5406,query,131,267.187
b6b176aa,query,45,342.586
38bc9961,welcome,53,23.630
381f446e,explore,288,186.780
b70fdeaa,explore,22,123.688
b90ae182,query,17,303.442
b790afc9,explore,45,166.052
b8859854,query,21,392.578
b92b7209,query,27,363.874
b88f3fd2,explore,22,72.982
387a8f1f,explore,226,73.242
398151a4,welcome,12,20.617
387a693d,welcome,54,21.936
3505fbaa,query,58,408.146
b7d35888,query,17,418.170
b8c9731e,query,20,461.054
b8e8b663,index,8,40.859
b78abd4b,explore,22,106.193
b8a5e039,query,153,268.374
396e7268,welcome,34,16.600
b88f3fd2,index,38,55.635
b879de94,query,95,343.854
38bfbe11,explore,54,126.126
38eb8fd2,explore,47,66.978
3836adc1,welcome,7,40.656
b7e046f3,explore,22,63.405
b8b4c8e3,query,74,279.611
b934f3aa,index,41,27.957
38b5bdc6,query,54,494.273
3794d5b0,explore,324,73.181
38b8dbce,query,97,320.822
b906336c,welcome,8,37.050
38b0f557,index,4,41.587
38a26360,query,49,376.657
3865a60f,query,85,338.979
b7a78440,,10,
3920e3f9,query,126,427.218
b84b1fc4,query,17,387.755
38e4b8d0,,26,
b7e046f3,query,17,370.791
3505fbaa,query,96,313.672
3845864b,welcome,7,46.659
b8904eb4,query,133,368.304
b8e8b663,explore,22,117.425
3845864b,query,25,335.401
383f50cb,query,126,261.330
b8a9dc67,query,43,408.823
37b1e3d8,explore,96,131.725
b71ae5ad,index,29,63.256
385f5a4a,query,115,348.209
b800a2e4,index,63,72.422
38ac031d,query,17,369.604
b8f2f05a,explore,192,83.761
3929d239,query,48,386.924
b895f7c2,query,104,357.156
b8ecd5a1,query,53,352.868
b92d477d,,44,
36b6d5a7,welcome,41,34.311
b943987a,explore,195,127.589
b78ce930,,112,
b858d797,query,314,367.732
380fd71c,explore,34,185.866
b90f23d2,query,17,307.383
3794d5b0,query,17,460.211
b8195359,explore,22,74.071
b91008bf,explore,57,128.839
380e5166,welcome,143,19.427
b9393d2a,welcome,73,29.566
37b1e3d8,index,5,31.594
37b51d59,explore,124,89.147
37ad4bb0,query,43,266.855
b837e598,welcome,126,31.887
387256e1,,37,
38aced5b,explore,51,176.800
b80d4f1b,index,67,46.335
b83463f3,welcome,90,30.604
b8db26f9,welcome,52,42.442
b94efb7e,query,27,402.711
b86d9dc1,query,132,351.147
38bd3dd9,query,21,409.585
b7e311d1,query,288,347.235
b8783c9a,index,12,50.195
b92fc5f0,explore,22,148.597
388f36a9,query,122,293.126
b8b742d2,explore,22,114.233
374e965b,welcome,17,38.108
39000f3d,query,20,318.607
38941c18,explore,66,113.760
3884d93f,query,260,357.087
38aceac6,explore,131,92.111
b88f3fd2,query,35,340.051
3884d93f,index,11,28.247
38d263e1,index,15,37.069
372ce1a8,query,134,449.278
388faf8d,index,4,50.476
393a3727,explore,141,131.088
383d1efe,explore,124,92.606
38b5bdc6,welcome,7,42.553
38d0d879,welcome,95,33.574
b7f87489,index,19,48.338
b83878e0,explore,221,170.035
b8aecf5c,query,73,342.125
b847509d,index,19,80.393
386a0b12,explore,22,140.021
36cec674,explore,24,139.444
b86d9dc1,welcome,7,37.534
38d79420,,84,
b854a083,query,62,398.585
396f9163,index,14,21.658
37a84561,index,14,51.316
b90f23d2,query,35,360.153
38941c18,,15,
380270e6,,71,
398b9355,query,18,418.743
b818edf3,welcome,7,34.972
37155b24,explore,22,106.986
398151a4,query,17,425.337
b92f1272,query,118,398.417
381cdeea,welcome,13,48.866
b9540e8c,query,166,351.993
b8904eb4,index,23,44.058
382d28b2,explore,172,97.076
3845864b,index,11,51.380
b72c3ec0,,57,
37b1e3d8,index,121,59.590
3941a876,explore,183,107.237
38ba0efe,welcome,27,30.220
b8d532d7,welcome,9,26.162
b8b35860,query,40,432.062
b659f6b0,query,63,357.096
3505fbaa,query,114,315.291
b86fbec8,query,17,459.294
b8195359,query,47,299.426
b80a284d,welcome,84,29.731
b81e144e,query,174,289.863
b8f2f05a,welcome,7,27.461
3917a7ea,query,50,460.753
387256e1,explore,37,99.925
384cef7c,query,137,380.942
b883223f,welcome,83,27.656
37359cdc,explore,74,55.885
b81bc207,query,21,483.316
b85aa33b,explore,46,136.080
b797ad79,welcome,35,33.728
b89e37f8,query,131,461.232
b6a30ae3,explore,66,142.972
b9393d2a,query,64,436.276
b873eff6,explore,191,122.549
b79d8fe6,query,24,329.454
b797ad79,,10,
37b1e3d8,explore,28,152.855
396e7268,,142,
3708600b,explore,233,17.192
384cef7c,query,63,358.908
36fcc444,explore,22,89.494
b92d477d,query,94,352.377
360d9967,welcome,100,23.953
b92b7209,query,18,336.053
b868ceb1,query,105,388.421
38ac031d,query,66,398.865
b8767f5c,query,197,363.281
b807faf0,query,144,349.889
b929e1a8,query,145,389.882
b7a78440,explore,22,121.351
3667ff7b,welcome,88,34.692
38715f17,explore,81,82.765
3898cf4b,query,138,364.380
b785e780,index,10,41.532
b85bcc4e,query,46,391.074
b57e2c76,query,26,370.925
b8c9731e,query,23,288.758
b7e2f376,index,8,28.744
b8ce585e,explore,136,84.438
b72c3ec0,welcome,15,18.929
388faf8d,explore,381,68.693
b8783c9a,query,76,428.002
38737cb7,explore,139,159.704
b77845c4,index,11,44.193
3667ff7b,query,98,448.614
b7e311d1,query,215,370.544
37c1cf55,explore,51,105.345
b8597376,query,23,295.930
38a26360,query,281,344.011
b845ade7,query,102,424.639
b659f6b0,welcome,21,26.108
37b91f73,,24,
38e3272e,query,117,422.099
3919d2b8,index,6,36.961
38b5bdc6,query,62,419.853
b992c1b8,,25,
37428674,explore,215,55.204
398151a4,explore,40,93.911
385131c9,query,22,473.554
381295ed,query,17,304.705
36124c2e,query,17,366.402
3869f186,query,17,317.661
38f4af8f,explore,219,77.749
389e0982,query,67,393.848
b893d062,query,18,341.095
3884d93f,welcome,21,40.654
38d79420,welcome,8,39.379
3929d239,query,33,467.010
b82746bb,welcome,20,24.990
380e76e5,explore,33,124.913
b858d797,explore,172,146.461
b7ff443b,explore,30,110.929
b895f7c2,query,40,475.138
393902b9,explore,162,100.062
b7a0f3c7,explore,32,81.276
b8a9dc67,,97,
36cec674,index,49,50.050
b7a0f3c7,query,88,297.058
37fc0708,welcome,113,25.227
b837e598,query,19,381.396
396f9163,explore,134,123.981
384896a3,welcome,7,27.770
b8783c9a,query,17,353.722
b8891335,explore,38,112.539
389be43a,explore,52,57.148
b71e4a2f,query,127,406.908
b8900d87,explore,75,161.029
38a3efc1,query,22,376.261
3836adc1,query,150,369.169
b8aecf5c,welcome,33,28.165
388f36a9,query,17,334.215
b85995b2,explore,22,125.888
381cdeea,query,242,349.424
b8891335,query,82,359.453
38bd3dd9,explore,69,33.799
b785e780,query,18,355.022
b9017e01,query,97,376.347
3919d2b8,index,20,39.863
3898ee45,explore,108,137.901
38c32354,explore,37,101.340
b7a0f3c7,query,17,407.567
b768570d,query,17,381.468
b8f2f05a,explore,30,163.654
b807faf0,query,17,432.702
38c3ffcd,explore,31,172.965
b7e046f3,query,29,351.678
3920e3f9,explore,28,107.468
374e965b,query,17,341.607
b8c0fe9e,index,4,43.110
b83463f3,query,17,411.819
386a0b12,index,32,52.548
38b9b021,index,45,43.263
389b678c,query,232,382.669
b768570d,welcome,28,28.569
b88b101c,query,43,446.966
b8983416,welcome,78,36.511
37428674,query,97,454.824
b914038d,welcome,22,45.636
b906336c,welcome,30,17.925
388f36a9,,63,
382863be,explore,67,129.251
b893d062,query,43,318.747
385131c9,index,54,38.321
b93c986d,welcome,58,34.818
390e01f6,welcome,70,35.416
b91b3afb,query,102,345.576
b57e2c76,query,190,423.900
b7e311d1,explore,29,78.301
b9017e01,,12,
b7e311d1,query,243,361.388
383d1efe,query,17,369.020
b8927d2a,query,64,405.222
3792dc7e,explore,25,115.497
b8b16108,query,99,470.275
389b4382,query,95,342.454
b9540e8c,explore,24,67.993
38715f17,query,72,423.184
37c8b5dc,welcome,7,23.110
b83463f3,welcome,7,29.451
370d5c5c,query,68,488.594
398b9355,explore,22,96.317
b91af4ab,query,100,410.872
38055f58,query,35,475.906
37428674,query,69,430.461
b906d980,welcome,11,22.085
37ad4fb0,explore,125,136.946
b8d532d7,query,250,462.094
b8859854,index,25,18.812
387a693d,welcome,85,28.736
38d8af08,,11,
382682ec,,10,
b85ecb74,query,25,394.515
b802772a,query,27,375.962
39221e65,welcome,7,44.194
b866124f,query,47,268.732
b8b35860,index,10,72.818
38e3272e,explore,232,41.961
b8958c60,explore,37,136.100
b929e1a8,index,15,53.170
b8ae0f0a,index,12,38.483
b866124f,query,19,352.125
b9084a36,query,81,339.593
385131c9,query,78,349.614
381cdeea,query,88,397.718
b800d5e2,welcome,7,37.660
b9321f56,explore,39,16.818
3585643c,query,188,391.519
b8cba1ea,query,137,374.024
b912f681,query,26,362.882
380c2bb7,explore,201,146.799
3919d2b8,query,100,392.093
383f50cb,,50,
387256e1,index,15,59.273
38e4b8d0,welcome,7,17.426
b8b16108,query,64,331.593
b90fc9aa,query,161,343.254
38a1d953,explore,272,79.659
38ba0efe,,10,
b85ecb74,query,110,394.453
b8f74b43,explore,58,110.260
b88c0eb2,query,17,362.454
37359cdc,query,94,406.389
38a07376,,18,
383f50cb,query,410,418.885
374e965b,welcome,7,29.634
38aced5b,explore,74,127.060
b847509d,query,196,298.061
b8c4a9b3,explore,25,170.759
37f6eef3,explore,130,101.480
391476c9,explore,132,149.543
389e3e52,welcome,47,30.228
385131c9,query,96,444.016
b3d96130,index,32,51.779
b992c1b8,welcome,33,36.128
b845ade7,query,275,341.262
b883223f,query,42,398.464
b943987a,welcome,84,27.100
387a8f1f,query,38,309.067
3874e6cd,index,4,51.464
b71eab1e,query,41,338.831
b925ee45,query,181,373.567
b8834030,explore,115,120.117
b8fbb05a,explore,22,82.144
b807faf0,welcome,7,23.121
b8f830ef,welcome,29,31.490
b8aecf5c,query,39,422.468
b906d980,explore,54,119.019
38b0f557,,10,
3762ca0a,index,6,20.639
3917a7ea,explore,234,98.530
38ac031d,explore,98,110.622
b8fbb05a,explore,22,57.427
b8ecf07f,query,67,374.083
b801dc46,index,14,21.479
390e01f6,query,186,387.207
381d46a4,index,12,5.441
38e816de,explore,24,132.480
b85bcc4e,query,32,328.629
b588a104,welcome,7,18.497
b57e2c76,explore,79,103.053
37b91f73,query,17,442.574
b8859854,welcome,26,36.693
b8f2f05a,index,42,64.794
38737cb7,query,44,419.046
b8ecf07f,query,103,402.420
b85f2d16,query,43,356.092
b659f6b0,index,30,34.193
37c1cf55,query,42,362.376
38d8af08,welcome,32,30.988
b6a30ae3,index,4,41.652
378727cf,,55,
b81e144e,query,103,295.474
38d79420,query,130,403.265
3932d48d,index,10,69.955
3920e3f9,query,159,272.409
b6454418,welcome,34,40.191
b83878e0,query,38,348.600
37359cdc,index,4,44.567
3917a7ea,,10,
38a3efc1,,32,
b854a083,explore,36,142.396
37c7cb8b,,10,
b801dc46,explore,63,211.621
b71e4a2f,explore,339,180.167
37c7cb8b,,99,
b888097b,query,51,405.337
3869f186,query,21,327.500
37f6eef3,query,173,316.622
b934c07d,query,42,396.181
388ab882,query,45,341.892
379bbcac,query,22,375.740
b88f4fdd,query,67,273.600
38e3272e,query,32,447.658
b790afc9,query,268,503.589
b946dde1,,96,
b92d477d,query,171,362.426
38d79420,explore,201,79.087
389124dc,query,74,463.492
3929d239,query,48,363.880
3815f55e,welcome,19,37.274
b8e9a607,query,153,406.951
374e965b,index,8,31.018
b906d980,query,28,346.687
b8b35860,explore,78,92.256
b8b35860,index,25,49.570
387a8f1f,query,77,392.677
b85995b2,explore,47,128.195
b9393d2a,explore,22,21.631
b8c9731e,welcome,191,40.423
b95d5406,explore,58,98.484
35f35bc5,welcome,19,25.342
b6a675b9,,25,
38f4af8f,query,136,382.276
b8c00b60,query,47,314.714
38737cb7,query,163,374.750
b95d5406,welcome,53,29.816
38d8af08,query,237,412.356
38b5bdc6,explore,193,153.511
b81e144e,index,7,43.737
381a9191,explore,24,74.297
b57e2c76,query,66,330.443
b906336c,explore,85,183.135
37428674,explore,42,125.931
b8b35860,welcome,24,29.628
b9540e8c,query,72,341.943
38eb8fd2,explore,22,56.441
38d263e1,query,29,326.269
3917a7ea,welcome,7,21.993
b8ce585e,welcome,9,35.447
b8927d2a,explore,61,115.027
398b9355,index,4,35.107
38f68c15,explore,64,95.922
b8806c0a,query,17,345.285
b80d4f1b,welcome,7,25.042
b8859854,welcome,44,26.043
b8b4c8e3,welcome,42,33.790
385131c9,query,17,311.908
b91733dd,welcome,27,43.423
3708600b,query,17,347.757
b7a78440,explore,53,130.277
38c80056,welcome,24,28.460
b8e792a8,explore,125,134.902
b785e780,index,5,72.258
378727cf,query,40,363.636
39049659,query,249,468.533
b8c0fe9e,explore,74,107.045
385c9181,explore,22,65.222
b8fa09b8,welcome,30,45.024
38a3efc1,welcome,17,27.447
381cdeea,welcome,67,26.045
36fcc444,explore,219,151.162
b837e598,index,21,51.701
393902b9,explore,22,105.414
