"sessionId (text)","page (text)","latency (number)","timeOnPage (number)"
38d37e82,explore,33,74.013
38aa4533,welcome,12,36.129
b6deebd2,query,105,400.916
b8133ba2,index,34,49.815
36f28a7a,query,309,353.628
37a1308e,query,83,317.318
b7b47e0b,query,17,307.868
b72ec9aa,welcome,83,39.407
b90288f8,query,63,493.021
b8935c96,explore,130,127.833
b7299437,explore,32,143.400
3825d553,query,19,278.895
b8ddc9d6,query,33,376.227
b987cfa2,query,17,447.101
b81e0892,explore,73,45.181
38b2fe0e,query,114,376.272
b987cfa2,explore,101,104.361
b8a40db7,query,115,436.796
b61dd662,query,17,360.469
b8a21ebf,query,86,207.720
b7299437,welcome,219,29.774
389b888b,,10,
39676437,index,4,56.907
38c3555e,explore,113,149.715
b72ec9aa,query,146,354.409
3850a4af,query,121,427.845
38130fc5,query,88,401.565
b58345a7,explore,606,145.346
391b78a8,explore,130,116.710
37b6ce35,query,140,367.270
b789f5de,explore,22,133.745
38d32b7b,explore,96,106.936
b89b6351,query,201,380.778
b7dbb5cc,,10,
b8abbf79,,38,
37ed171a,welcome,7,24.428
b9101a89,explore,157,149.485
b70956d0,query,18,379.986
383f3e87,query,102,332.536
38741dd4,query,88,381.513
3850a4af,welcome,22,41.493
b7b47e0b,explore,183,84.076
38301008,welcome,208,52.453
b6deebd2,explore,180,113.511
b8a8fcd0,index,51,39.199
b8aa3054,query,77,516.435
3912bdb8,query,34,448.828
3823b799,,28,
367fc56b,query,140,326.826
b97570be,index,62,37.523
38860d51,index,31,70.458
370f659c,explore,354,142.566
b8896b9d,query,195,345.202
38c30708,,10,
b8b1151a,index,6,40.443
b94276da,explore,41,121.883
38f54dfb,explore,43,123.066
38a7fa42,,133,
b882a572,query,95,352.027
39049e06,query,17,292.644
b546cbbc,explore,58,169.692
b90288f8,explore,33,108.943
38063370,query,291,407.559
b750a50c,explore,92,133.800
3827b8ad,query,113,374.954
b9262f51,explore,464,115.395
379b789b,index,8,55.458
b958bc49,explore,224,204.157
38f8755b,explore,22,116.549
b6c917eb,welcome,7,29.437
38ba2b03,query,17,462.554
b92cf8ba,welcome,20,29.120
38879321,index,4,53.299
3880ebfa,welcome,7,21.656
380a3b16,explore,22,115.006
b8d96132,query,48,394.189
b8cc17a8,index,49,44.810
3894d694,query,17,360.370
b7dbb5cc,query,23,279.280
b912d702,query,17,477.326
b8261dc3,,40,
3887b730,explore,74,44.702
b9000e9b,query,17,403.657
b94aa5fe,explore,30,110.614
38b70e3b,query,376,304.102
b8cb2383,index,6,68.665
385e90a7,welcome,7,33.469
38c30708,welcome,7,18.844
38c02024,explore,257,37.649
391f90b6,explore,213,137.349
382eebcf,query,31,323.470
b833f56b,query,18,453.424
383f3e87,welcome,55,33.043
38fd03b4,query,145,327.583
38b3b5f9,explore,57,138.934
38130fc5,query,56,452.287
b912d702,welcome,31,13.005
3883cda9,query,139,356.739
b9394069,query,56,319.520
b8b67c57,welcome,35,38.301
38983d99,explore,33,101.576
38a3cc99,query,71,345.848
b9064e03,query,17,463.829
368c88f2,welcome,7,50.877
b895c2d6,welcome,23,32.299
383b3d16,query,19,433.164
387f34dd,welcome,7,44.586
39130beb,,10,
3809ca97,query,17,323.282
b5cc32f9,query,109,413.332
38301008,welcome,36,23.687
38512452,query,351,418.332
b8bac31c,index,14,59.779
38863ecf,,20,
386f3062,explore,40,98.611
3960ca92,index,4,80.738
38fd03b4,query,75,389.898
38f03bfb,,47,
3721779d,query,47,343.506
b7ab0001,query,234,378.218
35212ec2,,68,
b80decf6,explore,332,28.577
b8261dc3,query,153,325.767
38a9678f,explore,62,141.377
36a43fd8,query,88,368.761
38d0b95b,query,49,455.278
389d0f58,explore,336,125.390
3896f78b,welcome,7,36.109
37a1308e,explore,190,194.313
38f3a841,explore,319,159.863
395a1dcc,,16,
384ca141,query,141,285.067
b8235edb,query,272,421.755
386ddfdd,query,17,469.720
383b3d16,query,43,433.045
36f28a7a,index,29,69.974
3960ca92,query,17,334.599
b90c0831,welcome,34,35.562
b8235edb,explore,48,151.248
b72ec9aa,explore,48,131.634
b747cf01,query,205,440.047
384dbf57,explore,400,73.730
b7c75f1c,explore,65,120.419
b882a572,explore,170,139.072
38b70e3b,welcome,7,25.386
b74ab656,explore,47,27.847
b911e5ea,query,40,382.428
38638071,query,65,434.927
37efae52,index,11,52.472
36b0883c,welcome,36,22.736
b9344041,,20,
b7ad8cfa,welcome,25,33.509
380a3b16,explore,22,139.589
b7e1cc7f,query,133,432.546
b79751b9,explore,352,160.209
385e90a7,index,18,61.827
b90c0831,welcome,31,24.013
386f3062,query,85,355.829
38c2f9f3,explore,34,52.488
3887b730,query,43,503.596
b9000e9b,welcome,58,28.314
393524d4,welcome,90,36.676
b7ad8cfa,explore,22,108.780
38dbb0ac,query,46,389.232
b87a3d54,query,85,316.203
389b3b04,index,4,74.257
36fb9ac7,explore,62,161.443
38638071,query,17,441.526
b8898150,explore,230,164.218
b8935c96,welcome,28,37.064
38f3a841,index,7,37.613
39049e06,welcome,23,26.136
3945c449,query,151,373.684
b8d96132,welcome,7,26.240
389d0f58,welcome,17,24.255
b88c7d38,explore,220,112.064
b6922299,query,66,390.002
b958bc49,explore,101,101.836
b95443bb,query,27,336.949
38e31cd0,explore,22,185.505
b79005ea,welcome,24,40.122
b8ef0640,index,114,16.130
385e90a7,explore,80,47.576
b84ed406,,17,
3907bd4a,explore,243,188.218
37a1308e,query,70,325.281
38981501,query,126,446.412
b7594e21,query,60,280.336
383f3e87,,31,
38f0bd8f,query,32,447.393
38a7fa42,explore,46,131.514
b88c041a,,10,
3945c449,welcome,25,25.474
b78700fd,index,49,49.322
38ea5b05,query,181,408.504
b8a21ebf,query,131,380.719
389f10a1,query,131,300.367
b85bbec7,query,165,417.081
b8a40db7,,106,
38aa4533,index,22,45.115
b7671954,welcome,166,27.691
37e3a30c,query,22,427.461
b6922299,explore,212,88.844
3960ca92,welcome,54,31.693
b92cf8ba,query,85,418.837
38741dd4,explore,64,85.429
b6922299,welcome,7,30.657
b6416473,explore,120,115.949
36aa1d09,query,121,375.683
39316be8,welcome,58,35.320
b96aff6b,explore,65,93.420
b7594e21,index,8,19.504
3929139f,index,38,37.494
b85e1118,query,17,269.939
387f34dd,query,34,411.668
38e24149,explore,130,103.390
b9394069,explore,22,181.922
38f8755b,explore,159,135.235
3894d694,explore,214,127.149
b96b7476,index,4,21.388
b8814dab,explore,120,159.545
b8992afd,,23,
b80decf6,explore,22,27.956
39110bc6,explore,92,188.471
388756a1,explore,414,150.182
b72004d6,explore,416,40.668
b8814dab,welcome,7,34.386
388756a1,explore,44,129.101
382e0879,explore,22,133.665
38b3b5f9,index,5,64.117
b82e11a5,explore,96,72.091
389b3b04,,65,
b6997bba,welcome,94,36.764
b84ed406,query,32,350.010
38d32b7b,welcome,26,46.617
34242078,welcome,17,29.936
388756a1,welcome,69,31.351
38301008,welcome,26,29.962
b90288f8,explore,24,138.331
36f28a7a,query,17,343.614
b6cccf57,explore,37,94.498
3923d69b,explore,142,168.944
36b6207b,explore,106,77.369
38b2fe0e,query,17,319.540
38860d51,,41,
b881f398,query,26,372.503
39130beb,query,79,303.337
384ff169,explore,178,168.762
b532828f,index,19,59.770
391bdd7c,query,22,439.720
b8cc43f2,query,71,426.782
b80decf6,,15,
3644b520,explore,272,92.897
38aac5ea,index,4,57.226
38c02024,welcome,49,32.192
b58345a7,welcome,23,40.319
37a748c8,explore,36,47.893
b81af435,index,21,59.933
382dac59,,23,
b88043b2,,12,
b903f1ba,query,157,353.301
36b0883c,query,40,339.885
b61dd662,explore,97,96.876
389b888b,query,60,355.773
b81f8856,explore,22,96.170
b67cf4ff,query,109,405.249
b8d04bf9,query,17,343.305
36fb9ac7,query,220,419.082
b919aba9,query,17,302.682
3825d553,query,29,406.191
b6fc5e8f,query,28,368.738
3823b799,explore,79,156.149
b9081a90,query,127,463.107
b911e5ea,explore,177,58.950
38a6be1c,welcome,7,33.732
b747cf01,explore,22,160.718
b8a2c430,query,23,242.987
b8e1204d,explore,70,109.683
37edb843,query,183,317.088
38955a40,query,191,335.095
3808e492,query,42,317.439
b87a3d54,query,17,319.786
b9191707,explore,59,134.908
b6997bba,query,36,326.201
b79fc36b,explore,70,93.443
b8ca1285,explore,60,22.101
384ca141,explore,295,134.533
b8d04bf9,welcome,7,20.015
3811386a,query,20,369.787
b7ce9e6c,query,17,354.330
388e6746,explore,63,98.485
b8cc8c8d,index,12,55.187
3906bd28,query,17,336.329
387e9322,query,17,403.788
b92cd41e,welcome,7,30.152
b97570be,explore,348,88.042
b8e1204d,explore,34,83.085
b8eb2381,query,17,317.684
393e1675,explore,22,170.113
3959f160,explore,84,158.933
38c02024,explore,101,99.545
385b5150,explore,34,99.005
b60640cd,explore,90,79.997
38b3b5f9,explore,22,144.365
3923d69b,,10,
b90cd7e2,explore,260,99.204
36f42680,explore,148,127.419
3959f160,explore,466,142.270
38f03bfb,explore,22,60.161
380a8ee6,welcome,38,31.485
352e89f4,,113,
38cf1081,query,150,409.852
3936d138,explore,97,102.339
b89fc1e1,explore,204,141.865
b7299437,welcome,29,30.194
3887eb6a,explore,34,126.210
b6ddbe3a,welcome,22,29.596
386f3062,welcome,7,38.064
b8cacea4,,60,
389f10a1,explore,63,112.606
b72f7391,query,195,313.098
b8cc17a8,explore,161,163.298
39584cc9,index,19,61.413
b88b86c9,explore,101,89.784
b8c6f1f5,welcome,54,27.748
379500b9,welcome,44,41.284
39584cc9,index,13,35.742
b80decf6,index,41,51.171
38b3b5f9,explore,232,36.084
b79751b9,index,6,62.012
38abb269,query,59,425.260
38cf1081,query,151,493.662
36fb9ac7,explore,22,122.825
b8896b9d,index,41,52.502
b8896b9d,query,387,510.744
b72f7391,welcome,7,20.081
b76ac97a,query,47,319.045
b8e1204d,welcome,10,32.117
b8767cf4,explore,113,127.207
39118432,query,23,416.250
36b6207b,explore,301,137.145
b8438a9c,explore,36,136.468
389418ee,index,4,53.006
b5acf6ba,query,17,385.868
38512452,query,97,369.372
b8eb2381,welcome,85,23.370
38209d7f,query,93,397.232
b8f6edd3,query,110,410.855
b8896b9d,query,172,509.901
383f3e87,query,270,406.862
b85e1118,welcome,60,48.041
b79d616e,,26,
b72f7391,query,17,381.991
38a59d4b,explore,87,163.420
3936d138,explore,22,166.350
b8cb2383,,19,
37d827b6,explore,22,158.468
352e89f4,,75,
b8261dc3,explore,22,91.043
b8cc43f2,explore,75,103.756
38f3a841,explore,22,77.256
b7420057,query,25,248.991
b5acf6ba,query,80,282.935
b7e3d502,query,268,297.425
37d827b6,query,52,331.715
38fce36c,,116,
b912d702,explore,22,34.977
b8438a9c,,135,
b9081a90,index,33,57.989
b8c922ef,explore,75,54.635
3981c566,,71,
38abb269,query,42,463.085
b532828f,welcome,14,35.902
388e6746,query,49,394.466
39676437,welcome,39,38.462
b911e5ea,explore,93,100.874
b7c75f1c,explore,22,174.513
b90288f8,welcome,7,31.021
37ebb4e5,explore,247,79.929
b94276da,welcome,42,27.921
b77b0f90,query,23,354.425
3850a4af,welcome,30,37.376
37d827b6,query,169,451.183
36b6207b,query,111,394.193
b8a2c430,query,89,347.374
38983d99,explore,165,189.210
b79751b9,explore,48,151.635
b9191707,explore,22,109.516
387f34dd,explore,357,159.502
b8767cf4,explore,237,220.524
35212ec2,query,98,361.321
38da6d20,welcome,42,29.637
b81e0892,explore,22,113.402
37d81570,query,83,450.376
b8cb2383,explore,37,97.613
391b78a8,query,39,374.926
36d407a9,index,26,23.017
3825d553,welcome,10,20.727
37cc3efc,query,56,322.525
b9344041,,159,
382103e1,query,69,460.367
3894d694,welcome,10,20.473
39196c18,query,92,373.207
3871b0f2,welcome,7,34.654
38b437bc,explore,428,77.890
3721779d,welcome,7,33.578
3825d553,index,4,59.177
b7febdb2,query,25,436.607
b67cf4ff,,13,
3823b799,index,39,43.617
b871ac93,,152,
b8cacea4,query,45,385.864
b5acf6ba,explore,31,19.060
38a6be1c,explore,229,140.477
b6416473,welcome,7,24.696
38da6d20,query,17,466.912
384ca141,query,31,399.720
38dbb0ac,query,17,487.604
38b384d5,query,105,428.588
384dbf57,welcome,19,21.735
b77b0f90,query,17,336.462
b789f5de,query,115,418.695
3788f613,welcome,73,27.970
b79005ea,welcome,7,37.823
b91b0aa5,explore,118,106.117
b91383bd,query,50,327.141
b91cf28a,explore,112,155.436
b79d616e,welcome,13,40.622
b87a3d54,,64,
3896f78b,index,8,15.361
382dac59,query,51,408.331
38a3d32c,query,99,389.949
382dac59,explore,104,114.589
b987cfa2,query,234,440.729
384ff169,welcome,9,41.139
b79d616e,explore,45,126.421
38f0bd8f,query,241,361.682
393e1675,,69,
b6997bba,index,22,72.006
b9064e03,query,122,403.596
b8133ba2,explore,36,136.061
b88a3b8d,explore,24,182.680
38860d51,welcome,11,32.908
38aa4533,query,40,444.888
b8b67c57,query,94,288.801
b77b0f90,explore,189,40.613
382e0879,explore,113,137.776
389b3b04,query,202,339.365
390a70ad,explore,43,46.093
3721779d,welcome,8,29.385
b94f006d,query,25,362.376
38cbc9c4,explore,99,144.576
b9952c38,explore,217,110.648
b5cff196,welcome,36,38.775
39626740,query,17,335.219
392b259d,welcome,37,26.584
b7420057,welcome,78,43.616
b7b47e0b,welcome,84,28.528
b89fc1e1,explore,49,67.611
3906bd28,explore,315,146.984
b67cf4ff,explore,22,105.624
b7a004f7,query,17,250.518
37a748c8,welcome,24,36.146
b7ad8cfa,query,17,345.501
b61dd662,welcome,42,25.712
b88a3b8d,welcome,85,29.603
386ddfdd,query,40,369.880
376b816a,query,17,274.058
367fc56b,welcome,7,28.158
37cc3efc,query,17,331.779
b8cb2383,query,165,384.883
393c1d0a,,10,
b9121871,query,135,434.226
b8ef0640,query,17,226.620
393524d4,welcome,17,32.621
b9344041,explore,45,121.476
b8b67c57,index,7,78.009
395a1dcc,query,18,462.114
37cc3efc,explore,74,148.364
b88a3b8d,welcome,7,29.656
b58345a7,welcome,26,17.345
3788f613,query,17,384.395
391bdd7c,welcome,7,23.699
38860d51,query,47,438.585
b8cb2383,,77,
380a8ee6,query,45,320.502
389418ee,query,210,469.279
38b384d5,explore,219,28.168
38f03bfb,query,17,503.084
390bce3e,explore,31,158.532
b85bbec7,,10,
b85a4e19,query,345,363.969
3887b730,query,39,393.511
39217004,explore,67,96.289
384ca141,explore,130,176.352
38d37e82,explore,22,113.625
36fb9ac7,query,33,481.327
b5cff196,,10,
3806ff7f,query,57,412.238
392a7586,welcome,22,33.835
b88043b2,explore,145,156.225
38d32b7b,welcome,9,18.594
393ce80f,query,100,389.803
b8bac31c,query,51,418.069
b79751b9,welcome,17,28.558
391b78a8,query,17,402.383
3644b520,query,356,294.255
37ebb4e5,welcome,81,17.147
b8ae7201,query,17,418.075
38983d99,query,17,452.119
b9101a89,index,16,34.749
b8d96132,query,39,374.095
38f0bd8f,,10,
38741dd4,explore,69,6.082
38863ecf,query,21,479.949
b7f018b2,explore,22,105.431
3923d69b,query,258,355.497
38860d51,,158,
38a3cc99,explore,22,83.740
391f90b6,query,265,454.898
384ca141,explore,22,113.335
38c439eb,explore,107,67.335
b9192636,,28,
38d3457c,explore,22,82.265
b8814dab,query,229,332.722
38cbc9c4,query,17,367.931
b82e11a5,index,4,55.286
37cc3efc,,31,
b8235edb,welcome,40,30.139
3887b730,query,67,337.697
3883cda9,query,17,404.927
39449c05,index,10,39.517
37ed171a,query,49,366.872
b79814ce,explore,43,107.605
37ed171a,index,5,52.795
37d0fd6b,,65,
b97570be,explore,59,163.047
b89b6351,index,24,36.763
393c1d0a,index,32,73.557
b91cf28a,explore,253,101.800
38b2fe0e,index,51,52.618
39676437,explore,22,124.972
383d3e27,query,259,249.837
38c439eb,welcome,238,36.840
b746a9af,welcome,17,27.827
b9195050,query,145,459.838
38027d89,explore,148,86.783
39676437,welcome,32,31.931
b7c75f1c,explore,22,141.994
38209d7f,welcome,23,20.731
b94aa5fe,,45,
38d6a39a,explore,76,166.812
b8cb2383,query,64,374.086
b89b6351,index,9,49.230
38aac5ea,welcome,7,33.966
3721779d,query,322,406.290
3896f78b,explore,37,80.094
b8438a9c,query,144,413.374
b7a004f7,welcome,85,13.884
b882a572,query,95,396.246
38c2f9f3,welcome,7,24.100
384659b3,index,60,64.935
b61dd662,explore,22,145.045
384dbf57,explore,112,83.887
b8a21ebf,explore,169,14.175
b8b67c57,explore,176,102.106
36e7e141,query,44,414.150
b532828f,welcome,13,25.532
b94f006d,query,86,459.704
3773c216,index,4,46.164
b91383bd,query,19,409.722
b9101a89,explore,22,122.095
b88c7d38,query,211,453.402
3704825f,index,29,50.875
376b816a,query,17,354.761
38bfffaf,query,112,322.574
b88a3b8d,explore,113,124.067
b8a21ebf,query,28,421.204
38c02024,query,221,304.947
388756a1,query,17,393.512
39626740,welcome,102,39.442
b7e3d502,query,149,323.934
38aa4533,query,62,401.887
370f659c,explore,261,82.170
383d3e27,welcome,20,28.187
391b78a8,query,20,361.118
b92cf8ba,welcome,7,40.564
38f3a841,welcome,37,31.734
b813b642,explore,247,134.360
b9952c38,welcome,35,29.139
b7f018b2,query,118,426.430
b8b67c57,explore,34,102.286
b7cfc0e3,query,17,296.064
b8767cf4,welcome,63,36.488
39196c18,query,26,420.805
38c02024,welcome,46,28.354
38641006,query,17,403.113
37a748c8,welcome,14,40.947
b79751b9,explore,131,137.465
b8cc17a8,index,32,53.684
b95f8e0c,query,148,389.968
3827afc0,query,215,372.747
38dbb0ac,welcome,20,30.491
386dda80,explore,22,100.831
37d0fd6b,,82,
387f34dd,index,33,41.920
b6861f95,query,284,350.674
b7671954,query,156,372.781
38e24149,query,85,305.312
b7299437,welcome,16,21.836
37ed171a,welcome,7,15.197
b79814ce,welcome,7,10.531
3644b520,explore,22,115.075
36b6207b,explore,22,98.574
b8a9a15d,query,29,454.275
39110bc6,explore,485,52.419
38b3b5f9,index,4,37.171
388bd213,index,20,37.935
3713b2ac,,37,
39626740,explore,175,126.563
36f28a7a,query,161,487.256
b94276da,index,5,53.557
3811386a,welcome,78,39.976
38863ecf,query,51,356.058
b881f398,,30,
39626740,,10,
38ba2b03,query,46,370.656
b95f8e0c,explore,69,30.673
b6416473,query,17,416.206
3701d6fe,explore,53,152.552
b8a9746b,explore,92,102.491
3713b2ac,query,62,415.754
3921f605,query,111,373.392
38741dd4,query,20,419.195
b891e15d,explore,22,98.204
b9121871,welcome,11,33.481
b94f006d,query,71,380.263
b94f006d,query,243,390.438
383f3e87,,10,
b8cc43f2,query,93,338.968
b8514792,explore,22,102.134
388e6746,explore,160,104.789
b80decf6,explore,255,182.920
3701d6fe,explore,115,112.839
38e31cd0,welcome,81,43.912
38bfffaf,welcome,7,27.952
3898ed9d,explore,156,95.882
b8abbf79,query,20,403.199
b789f5de,welcome,9,34.574
370f659c,explore,163,112.201
38a59d4b,index,10,63.788
36e7e141,explore,35,55.236
b6861f95,welcome,21,19.748
b8957973,explore,186,137.438
3850a4af,explore,83,85.118
b94276da,welcome,7,36.785
3809ca97,explore,69,106.475
b8a2c430,welcome,7,30.789
39093767,query,25,326.883
38863ecf,explore,22,111.221
b94f006d,welcome,17,14.796
38e24149,explore,56,118.858
b79fc36b,index,6,65.867
b8d520d5,welcome,12,30.614
b6b9bbf2,query,54,430.561
39449c05,welcome,21,33.469
b9120a49,welcome,14,6.998
388756a1,explore,50,110.760
b911e5ea,query,40,453.866
392a7586,welcome,16,39.167
b7cfc0e3,query,104,414.011
388756a1,query,121,458.924
b8261dc3,index,35,23.046
b958bc49,welcome,50,33.909
b8767cf4,query,25,395.782
b813b642,query,200,398.733
38fa1db7,index,4,28.367
384ff169,query,34,354.814
b89b6351,welcome,50,32.390
b88b86c9,,37,
3968688e,index,7,61.193
38f0bd8f,,10,
39296347,query,90,407.953
37e3a30c,query,17,459.153
3825d553,explore,78,104.161
b82a2c73,welcome,71,28.914
38d3457c,welcome,78,26.720
b987cfa2,welcome,51,34.311
38fa1db7,query,44,291.244
383f3e87,query,20,453.299
b919aba9,index,9,86.103
389418ee,welcome,65,20.777
b8a34d6b,,59,
390a70ad,,293,
37ae923c,query,45,492.670
38ba2b03,welcome,37,37.825
b7f018b2,query,70,385.720
b8cc8c8d,query,86,300.406
b8261dc3,welcome,14,26.724
38c3555e,index,23,51.351
391f90b6,welcome,26,32.706
384ff169,query,200,383.842
b7febdb2,explore,172,109.110
389f10a1,query,55,430.112
b61dd662,welcome,17,37.982
b8a34d6b,query,213,364.682
b70956d0,query,176,332.367
b90cd7e2,query,117,516.652
38955a40,explore,57,80.143
38e24149,query,17,435.347
39049e06,explore,34,97.696
38f8755b,query,17,359.518
b88ed6a2,welcome,38,23.944
383da34c,query,17,270.042
39130beb,welcome,62,36.876
b97570be,welcome,7,23.473
3912bdb8,query,44,431.174
b8cb2383,welcome,12,24.324
38b384d5,query,19,368.782
b72f7391,explore,65,50.697
3968688e,query,175,358.796
3704825f,query,208,433.132
b919aba9,index,19,76.540
b74ab656,index,16,41.928
b88ed6a2,query,170,493.445
b9064e03,welcome,39,26.858
b7420057,welcome,76,27.876
38aa4533,explore,148,178.281
3880ebfa,welcome,171,33.514
38027d89,,10,
38641006,explore,22,168.131
38209d7f,explore,194,110.211
b90a8e1c,explore,73,111.046
b9120a49,explore,688,88.457
b8ca1285,explore,48,96.442
37ebb4e5,welcome,21,28.991
b7594e21,explore,23,84.390
b895c2d6,query,17,397.586
b6ddbe3a,,87,
b9000e9b,explore,494,96.665
38c2f9f3,index,12,45.634
b887ef72,welcome,43,31.646
b8475e01,welcome,7,30.719
3870a5bf,explore,50,37.661
b72ec9aa,explore,102,90.929
38d3457c,explore,652,143.278
b8475e01,query,83,303.488
b6ddbe3a,query,123,406.556
388e2da8,explore,311,65.203
380a8ee6,explore,252,98.301
393ce80f,query,71,310.258
b8ae7201,query,59,218.016
37d81570,explore,209,158.349
3809ca97,query,272,348.300
b60640cd,index,72,36.164
38b70e3b,query,96,405.184
39584cc9,explore,139,151.365
b91cf28a,welcome,49,32.581
37d81570,query,65,302.075
