"sessionId (text)","page (text)","latency (number)","timeOnPage (number)"
38ef3640,explore,69,58.762
397ef877,explore,51,75.396
b861305a,query,127,339.054
37e1894f,query,17,485.938
b7640fe2,query,193,378.787
b843f6c4,explore,22,91.523
b94822a0,explore,58,0.724
b8d397b9,query,133,382.184
b83d7d66,explore,99,106.793
38a09be2,query,24,457.738
385d7134,explore,126,150.219
b8f250c1,query,17,372.935
b7bc1f0f,query,43,462.228
38043b6f,explore,29,140.852
38b156fd,query,146,427.858
387157e9,explore,22,156.569
b8006280,welcome,7,24.890
384c9e30,query,17,399.720
b7e8471c,query,23,350.446
361ab558,welcome,21,26.501
b8eb1431,query,27,411.836
39341037,explore,52,116.631
38b4efea,query,153,356.588
385b623b,welcome,23,34.624
38c8a346,,10,
b8cd58c8,query,181,437.908
38e2efc3,,19,
b6ddba69,explore,291,81.084
b704d04c,explore,22,84.535
38a03687,index,19,78.096
b7928361,query,25,315.567
38aeed0b,query,17,418.384
b8cd58c8,,53,
38c66a69,welcome,16,37.670
391a0899,index,4,29.151
38c8a346,welcome,21,38.148
b87bfdf5,explore,206,102.233
371ab83e,explore,79,96.478
3850b5be,query,42,366.963
b8a76e6e,query,28,420.870
b90d34cb,query,102,418.740
385b623b,explore,110,140.251
b900ba0c,explore,149,63.360
38976b8d,query,349,354.646
b9251758,explore,167,122.414
38b16198,welcome,62,30.620
b92eeecb,welcome,7,29.305
b8b40cfa,explore,146,71.240
37debbd5,index,34,51.923
394ddbe2,query,211,261.271
b7ec988d,query,17,455.741
3919f970,query,20,357.764
380cd81e,query,190,428.831
b8315bc8,explore,115,135.747
b716567c,index,18,41.189
381b3616,explore,264,82.629
380d570e,explore,126,31.857
b8ab5899,index,14,58.084
b91ae4d7,,10,
3825d668,query,38,354.176
b6ddba69,index,26,21.037
37debbd5,explore,43,94.791
b9863787,explore,22,118.226
b8bacf06,welcome,12,23.963
b7af974b,query,165,318.697
36f6d52a,index,4,57.179
b8a43a0a,explore,22,45.000
37e605a5,query,21,497.006
b62ede58,query,92,370.721
b84235d6,explore,37,103.949
39341037,explore,53,144.763
b94822a0,explore,185,75.324
b92f2f94,query,17,431.906
395482c8,query,41,301.909
3929bc2a,query,127,407.873
372dd8d5,explore,112,95.124
37b9201d,query,30,463.483
b8cb668d,index,13,43.954
37d123f1,query,63,527.015
376a31f7,query,215,343.532
b785749f,query,89,291.963
37537daf,index,34,50.212
37debbd5,explore,57,67.553
b8e03e49,,255,
3812c125,query,82,351.275
b7e8471c,welcome,7,51.716
b9859cce,index,15,35.859
b807be94,welcome,60,30.311
b92eeecb,welcome,14,21.577
b8b7ba1e,welcome,46,20.273
38935991,explore,95,110.466
38fb24c3,query,131,309.138
372ba72b,query,17,438.954
37c97c81,index,21,44.463
3717e359,welcome,15,28.984
b92eeecb,,249,
374db7d1,welcome,7,25.126
3810645e,query,61,368.271
b92eeecb,query,37,326.395
39081e78,welcome,45,28.152
37d59f5c,explore,91,99.228
3894a26a,welcome,54,31.058
b87bfdf5,query,31,342.941
380a5d7e,query,17,499.561
38499121,welcome,7,36.722
39831e60,explore,131,75.497
3824ecdb,explore,172,150.413
38903a89,query,17,453.513
b900ba0c,,16,
3833f03c,query,26,541.684
38260124,welcome,7,27.110
36ed3039,welcome,64,27.163
37f7fb42,explore,297,134.120
b9179291,index,4,59.831
b92a0568,index,8,52.395
b800c649,index,4,55.444
b878603b,welcome,12,34.420
b8b2a8b6,explore,22,141.769
38570593,query,175,368.989
389369e1,query,22,306.114
38ac7e9b,query,129,326.971
b8b2a8b6,query,17,385.528
390a7b96,query,298,397.153
38dadc41,,121,
3932a5dc,welcome,43,23.087
38c8a346,,10,
38a09be2,welcome,21,32.125
b94822a0,explore,81,120.040
3812c125,query,28,337.467
b77313cd,explore,170,63.357
3727d510,,207,
38d8cf54,,148,
386e63fe,explore,119,139.926
b91fdf40,explore,49,84.908
b89bb83c,welcome,109,23.052
b7ba8440,explore,62,87.921
373370a7,query,251,373.525
b7ec988d,welcome,35,26.114
376a31f7,welcome,7,27.500
394ddfd9,query,56,224.596
b963ff2b,query,53,417.517
b940485f,welcome,8,19.630
395482c8,query,161,403.364
37a6b109,welcome,162,42.973
38935991,query,17,330.932
3919f970,explore,48,67.839
b8b29817,explore,108,150.430
37a6b109,explore,293,135.613
b722d103,explore,22,112.858
b8f6a9d3,query,49,288.065
38bd58e6,query,22,328.575
b964410c,welcome,64,32.100
39324b60,explore,22,118.312
b67e31d7,explore,115,118.612
383ea267,query,20,296.413
b894b6e7,index,4,61.956
b8c0026e,explore,46,12.784
380db636,welcome,12,38.495
3897cb37,query,36,302.111
37d123f1,explore,67,99.437
b90334f8,welcome,17,22.717
b909847e,query,21,335.768
38903a89,explore,174,99.726
393381c2,query,24,359.702
b704d04c,query,17,497.987
386e63fe,welcome,58,13.962
37b27ce3,query,59,401.468
b84235d6,explore,23,60.454
b91ae4d7,index,11,52.521
38dd3af8,explore,117,85.191
b8b40cfa,query,44,424.491
b964410c,welcome,64,39.150
37dff849,explore,152,206.505
3878a57d,query,22,409.228
37f6c10b,explore,186,81.212
b8ba48cc,query,88,369.133
b782da6b,welcome,42,37.127
b67e31d7,explore,216,163.619
378803b7,query,17,416.390
385b623b,query,68,286.610
b92a0568,explore,83,129.446
389369e1,explore,128,81.210
38b16198,explore,35,198.204
b90334f8,query,70,381.182
3941931d,query,17,436.005
b7928361,welcome,10,36.252
3928c4b8,explore,70,65.246
37e1894f,query,17,451.116
b9893389,welcome,61,24.668
b8008c33,query,30,441.230
b7a489a1,welcome,119,21.990
b824e5f3,explore,283,184.234
b76cbd81,query,59,368.038
38a33852,query,63,489.980
b88fd3bb,query,142,349.103
b92eeecb,query,237,485.526
b89113df,explore,312,97.915
380db636,index,4,25.777
391bfc51,welcome,64,36.542
b9863787,,28,
388c5062,query,28,376.246
361ab558,query,17,460.853
b841d8cb,explore,52,81.082
3874325c,query,119,450.783
b8d2286a,query,133,308.590
361ab558,welcome,68,36.066
37b03896,query,189,420.463
388f0d88,query,17,342.880
385377d2,query,38,372.276
38499121,query,73,361.070
38843f18,explore,174,53.999
b8cb668d,welcome,25,28.804
38757537,welcome,33,29.345
b8315bc8,explore,98,147.435
b92f2f94,query,17,424.725
38043b6f,welcome,22,45.088
b8b7ba1e,explore,62,91.520
b8d979b8,,49,
b62ede58,query,104,412.630
38e2efc3,query,103,363.637
b8447762,query,61,424.514
394ddfd9,query,69,425.016
3810645e,explore,75,114.596
b971b013,,24,
3929bc2a,welcome,7,33.460
b67e31d7,index,40,58.902
36413a23,query,26,330.997
39746f30,welcome,44,30.488
b77582fd,index,19,67.120
b8b40cfa,query,24,267.209
38df9237,explore,33,86.851
b8351eb1,welcome,59,54.285
b7a93738,explore,41,154.581
37debbd5,query,85,475.062
38f8128a,query,32,326.124
38ac7e9b,,59,
37dff849,welcome,20,21.896
38bce03f,explore,31,128.085
3907a956,index,5,35.543
394ddbe2,,46,
b6acd2e3,query,40,372.958
38b4efea,query,138,445.642
376a31f7,query,138,347.165
38d650b9,query,17,482.387
37f6c10b,query,17,340.177
b8d979b8,query,80,340.527
3882ec68,explore,22,101.399
37f6c10b,explore,39,72.501
37b03896,query,212,304.390
b984fd05,query,68,353.781
b8656cd1,query,30,365.497
390180e2,,77,
36e0df61,explore,95,75.356
38570593,query,17,467.400
38a09be2,index,8,17.197
38fc0392,query,102,369.783
388be9d2,explore,22,85.375
381b3616,,83,
b6a0a726,explore,173,105.802
b964410c,query,271,239.813
37f6c10b,welcome,64,36.848
36cd0681,explore,255,106.402
3854a6d5,welcome,45,18.216
38a09be2,query,242,413.407
b900ba0c,,51,
380124f4,explore,37,125.339
b751dac7,query,180,352.706
3864e757,query,260,349.793
b6b1090b,welcome,88,30.139
37d123f1,explore,40,169.914
378a7a9a,welcome,20,34.593
3862baeb,index,4,61.219
380229e3,explore,82,60.569
b707afe7,welcome,53,24.103
b782da6b,explore,125,108.398
389ecbcb,welcome,32,30.371
388c5062,query,19,286.232
b62ede58,query,119,451.550
37c57dbc,query,47,434.117
394cb0da,query,17,460.779
b8571315,explore,272,116.574
38dd3af8,welcome,55,30.657
3850b5be,explore,74,116.912
b92f2f94,query,171,393.698
b8d979b8,query,98,473.488
b81a2d8e,query,274,392.179
38d8cf54,query,17,320.765
36ed3039,query,73,259.221
b857f798,explore,76,150.328
39320fa4,index,43,8.567
b88acb3a,query,100,243.417
3812c125,query,78,264.889
b8d23a66,welcome,25,38.356
b8743f55,explore,144,90.179
3825d668,query,98,364.131
b90334f8,index,21,56.455
37d123f1,explore,32,122.434
3897cb37,query,100,391.043
38b16198,index,4,27.821
37b9201d,query,78,402.258
b70b69e1,welcome,28,41.863
b9049c6d,explore,171,65.599
b8d397b9,welcome,7,30.361
b95df9e6,index,4,40.991
b8df35c5,welcome,7,32.508
b785749f,,20,
b79059f2,query,103,430.986
36ed3039,welcome,10,28.373
b8433ba3,welcome,16,22.439
378a7a9a,query,142,422.330
b9209247,explore,46,44.986
3878a57d,explore,22,107.766
b97853da,explore,149,96.097
38d9aaac,,33,
38be1630,explore,180,165.513
385b623b,explore,295,138.648
b85fadd4,explore,22,82.521
b964410c,explore,51,67.068
39a559e2,query,60,321.397
b89c360a,welcome,20,23.028
38a03687,,10,
390180e2,query,59,506.046
b79059f2,welcome,35,25.561
b83d7d66,query,234,428.648
b85ea5e5,index,15,72.263
b7dc0233,query,38,400.327
397ef877,query,17,369.201
38260124,query,73,432.942
b67e31d7,index,5,43.726
b8f2b75c,query,17,367.177
3882ec68,query,52,545.009
b958b4b9,query,150,447.102
3850b5be,explore,24,89.940
3810645e,index,29,50.365
395482c8,welcome,14,37.067
38ac7e9b,query,17,358.233
b895f6f7,welcome,58,27.896
b8e11809,query,17,394.542
b9251758,,10,
38280d6c,query,47,291.992
37b03896,query,49,345.160
b88e5463,query,22,350.260
3854a6d5,query,17,318.576
38499121,query,127,465.399
374db7d1,query,17,348.052
b846d2d5,query,152,420.029
b6b1090b,,194,
37dff849,explore,67,102.273
36f6d52a,query,55,349.289
39746f30,welcome,7,24.346
36f6d52a,explore,88,77.694
38757537,query,20,413.570
399042f2,index,10,70.365
37dff849,index,10,54.468
38df9237,query,216,321.305
b861305a,welcome,10,42.329
38499121,query,17,430.355
38d91a68,query,27,360.012
b861aaca,query,42,356.899
b857f798,welcome,16,29.489
37debbd5,welcome,37,40.873
b8b2a8b6,,10,
37448f35,explore,378,70.323
b8f64134,explore,40,77.429
378803b7,welcome,33,34.139
372ba72b,,74,
b895360e,query,117,294.385
b91fdf40,query,17,409.397
3894a26a,,12,
3717e359,query,189,291.150
b820f8d2,query,24,265.354
b871175a,explore,95,146.245
b5f2decc,welcome,82,23.878
37e1894f,,46,
391d9538,query,21,389.187
38e2efc3,welcome,59,34.299
b892f9b1,query,17,368.331
39a559e2,query,17,405.342
38df9237,query,28,341.996
37260a05,,22,
397ef877,explore,153,103.420
b8cd3be0,query,135,295.854
b9251758,welcome,16,16.477
b8374e70,query,17,372.829
b9089ee8,explore,766,181.672
b8bc718f,explore,250,82.944
38fc0392,welcome,44,31.330
38d9aaac,explore,595,82.643
390180e2,welcome,7,34.665
b8eb1431,,47,
3897cb37,explore,82,49.032
38e3ee82,explore,22,171.194
b909847e,index,19,51.625
371e3a21,explore,22,171.084
b94822a0,index,7,47.012
b70b69e1,explore,249,107.863
b7928361,explore,95,56.159
38757537,index,22,42.269
b7ca8cd3,index,24,30.781
b9501b64,query,79,446.873
b7cef0b0,index,46,36.397
b85de11e,query,69,387.939
b707afe7,query,114,393.420
b90037ce,query,84,427.813
b8433ba3,query,46,359.798
374db7d1,welcome,15,27.493
38b4efea,index,8,21.280
b7ca8cd3,query,173,377.185
37c18db6,explore,43,145.712
372dd8d5,explore,22,77.820
b873ff03,welcome,20,32.258
b70b69e1,query,56,342.481
b800c649,query,17,304.031
38ef3640,query,60,401.911
b865e455,explore,22,49.730
3727d510,explore,30,62.680
b881154c,query,30,312.109
37c97c81,welcome,17,31.706
380a5d7e,explore,170,225.720
b8aa5016,explore,128,104.184
3890f66f,query,62,340.719
399042f2,query,104,229.271
b7bc1f0f,,20,
37d59f5c,query,17,465.794
3928c4b8,query,34,346.021
b97853da,query,62,497.610
b8d29a1e,welcome,49,14.850
37e1894f,explore,22,116.868
38d9aaac,welcome,66,37.043
b9859cce,query,17,255.739
b930b197,explore,71,183.447
388ea112,index,4,51.421
b90d34cb,explore,220,85.749
b83093aa,query,88,430.240
37d59f5c,welcome,17,38.998
397ef877,query,17,441.144
3929bc2a,query,55,435.737
b9863787,explore,33,102.339
b7ca1b94,explore,198,142.652
378803b7,index,6,70.226
b8bacf06,index,9,51.949
b8d29a1e,query,300,440.826
b8e11809,query,26,389.672
37ac4473,index,44,44.067
b861aaca,,18,
b8f250c1,,19,
b8e03e49,query,38,373.063
b785749f,welcome,22,30.707
b80c7902,explore,167,116.724
380a5d7e,explore,288,61.883
38b156fd,query,19,333.031
38b4efea,explore,42,133.881
38c8a346,index,13,60.376
3929bc2a,welcome,65,28.943
b6a6b774,query,119,341.083
b80c7902,query,583,367.690
b7a489a1,query,339,435.618
b6a0a726,index,21,77.636
b8743f55,explore,107,100.733
37448f35,query,17,432.820
b83093aa,query,57,312.492
3897cb37,index,18,49.112
b8571315,query,17,350.303
b83d7d66,index,35,34.827
b895360e,query,28,454.467
b873ff03,explore,22,139.817
b8d2a7ee,explore,490,117.158
b8b7ba1e,index,5,72.600
37e605a5,explore,22,90.843
3727d510,,10,
38fc0392,welcome,13,32.051
b865e455,index,4,76.924
37e1894f,welcome,8,45.988
385377d2,,268,
b62ede58,query,59,372.225
b70be3c1,query,57,471.122
b782b13b,query,17,367.146
b8ab5899,query,86,388.064
b9179291,explore,70,153.979
38ac7e9b,query,28,320.913
388f0d88,explore,126,124.699
388be9d2,query,17,429.895
371e3a21,explore,22,51.408
b8d29a1e,explore,231,54.930
372dd8d5,query,19,341.025
b8571315,query,95,270.407
b6acd2e3,query,17,429.320
b8cd58c8,query,23,254.320
37e605a5,query,84,409.384
3989c759,explore,25,134.583
39204937,,58,
b6921073,explore,22,88.368
38260124,welcome,7,19.682
b91ae4d7,welcome,36,30.175
390170d2,explore,117,223.332
b7d7b7e1,welcome,19,37.010
380124f4,,10,
b70b69e1,index,44,41.445
38b16198,query,17,354.222
b8d397b9,welcome,22,35.271
381b3616,query,100,409.608
b79059f2,query,81,370.235
b8aa5016,welcome,91,31.176
38c8a346,explore,153,80.919
38fb24c3,query,17,366.140
37c18db6,query,41,395.953
b67e31d7,welcome,7,22.938
372dd8d5,query,121,352.311
38664594,welcome,7,5.488
38b7cf6f,query,30,363.456
380d570e,query,275,378.259
b8d7beca,query,120,398.522
38c902a6,query,88,345.287
b85de11e,query,151,455.212
386e63fe,explore,84,97.651
3892e64a,query,93,386.438
b91b0f7b,query,18,369.173
378b9806,query,22,348.793
38043b6f,query,17,410.157
b8d2a7ee,query,44,457.691
b861aaca,,14,
39204937,query,113,375.789
38f8128a,,116,
38f8128a,query,25,456.447
388eee90,index,5,72.664
b8aa5016,query,17,313.465
38fb24c3,welcome,155,45.982
385276a9,explore,22,180.687
b90037ce,welcome,10,46.323
38260124,welcome,8,28.792
36413a23,explore,41,98.821
b7928361,index,36,21.551
b8f250c1,query,302,502.802
b8380f86,,17,
b9049c6d,query,35,267.273
b92e8801,query,74,307.756
390180e2,welcome,38,23.260
39460216,query,17,360.448
3878a57d,query,108,281.172
b7b918b6,explore,22,136.808
3862baeb,query,17,381.944
b9089ee8,welcome,31,25.093
b6acd2e3,explore,22,132.524
b940485f,query,61,384.359
3862baeb,query,43,369.111
b8b40cfa,explore,410,105.509
b7aa7170,explore,78,158.311
39087913,explore,287,104.125
b85de11e,explore,227,49.965
b861305a,explore,132,74.785
393381c2,query,17,257.534
38a03687,query,91,332.561
b856720f,query,92,302.668
b8571315,,65,
b891e22a,welcome,112,26.655
b751dac7,welcome,25,21.967
3854a6d5,index,5,42.306
b7bc1f0f,query,45,315.086
b722d103,explore,22,175.557
379a2fde,explore,22,144.161
37758a07,,37,
3941931d,query,18,381.788
391a0899,query,135,360.008
37c97c81,welcome,13,32.752
385d7134,query,60,310.534
b9863787,query,45,360.882
b8006280,,53,
37d123f1,query,93,407.044
390a7b96,explore,84,146.662
3833f03c,query,100,487.291
38b156fd,query,21,409.009
3812c125,welcome,104,15.806
391d89ec,,10,
388f0d88,query,43,408.666
b90334f8,explore,22,148.438
380db636,explore,34,159.827
b9893389,explore,22,55.002
391a0899,query,29,425.940
37c97c81,explore,33,142.299
b8ba48cc,welcome,40,28.432
36413a23,welcome,8,40.534
3833f03c,welcome,78,33.257
b85de11e,explore,173,137.661
b7dc0233,query,69,395.052
378803b7,welcome,53,23.743
37537daf,query,49,239.051
b77582fd,query,100,262.004
b895360e,explore,73,56.779
b77313cd,explore,166,16.705
38935991,welcome,22,45.516
39081e78,query,63,377.578
36f6d52a,query,24,380.933
38d650b9,query,17,330.966
b8d23a66,query,43,349.810
37b9201d,explore,225,50.318
b90334f8,index,8,34.185
b6acd2e3,index,4,55.826
37b03896,,81,
b80c7902,explore,29,60.617
38aa2a71,query,45,493.395
b97853da,welcome,10,29.863
3928c4b8,,12,
38fc0392,explore,22,124.888
38fc0392,explore,39,69.692
394cb0da,query,41,316.974
b87bfdf5,explore,31,68.290
b90d34cb,welcome,21,25.423
b7aa7170,explore,266,200.448
b8743f55,explore,95,168.269
385ba5ea,query,17,379.863
399042f2,explore,94,119.488
b87bfdf5,query,136,322.802
b8380f86,index,11,23.769
b7c82f3f,query,46,365.847
38f8128a,query,17,304.971
b930b197,explore,66,198.634
38b7cf6f,query,289,341.972
b865e455,explore,339,92.937
b8cd3be0,query,35,324.032
b6921073,,36,
b8cd58c8,,17,
b865e455,query,30,418.965
b8ff7b7e,query,20,313.184
3911f0b1,index,4,60.492
380db636,query,54,366.239
b8380f86,welcome,7,34.489
3882ec68,explore,73,86.401
b857f798,query,17,319.354
b856720f,explore,43,136.037
3878a57d,query,110,301.440
37f6c10b,query,17,292.089
b8a43a0a,explore,22,104.836
380a5d7e,explore,46,89.052
b8447762,query,299,279.144
385276a9,,40,
b6b1090b,explore,270,119.515
380b954e,welcome,7,24.397
b7a93738,welcome,60,45.823
38b4efea,welcome,48,44.598
38bd58e6,welcome,12,37.531
38c8a346,query,122,460.636
b89b724e,welcome,49,23.306
b7ba8440,,10,
382cbaf0,query,17,323.660
38976b8d,explore,36,93.159
b958b4b9,query,276,293.669
3928c4b8,query,282,299.327
389b6955,welcome,7,35.985
b8e95dbd,welcome,107,29.516
b92e8801,query,69,307.158
b8ab5899,query,36,430.825
36f6d52a,index,19,21.094
38595510,welcome,7,45.972
38fc0392,welcome,7,37.285
39320fa4,,50,
b841d8cb,explore,57,140.165
b798ef62,query,147,404.474
361ab558,explore,22,73.513
36124279,query,24,389.817
b8c0026e,query,317,341.020
395ac9c4,welcome,32,24.052
b9849c67,welcome,7,29.754
b8b40cfa,welcome,27,23.954
b963ff2b,query,181,303.993
3894a26a,explore,119,168.687
b861305a,explore,42,109.838
b83d7d66,explore,119,86.122
b854ef43,explore,32,139.785
380229e3,,102,
38280d6c,query,85,384.765
385377d2,,28,
38d9aaac,welcome,40,33.739
3892e64a,query,17,349.162
b90037ce,query,186,266.899
b7640fe2,welcome,7,12.896
38c902a6,index,26,56.640
37b03896,explore,25,13.806
372dd8d5,index,5,18.117
385b623b,,31,
37debbd5,index,4,29.716
b7dc0233,explore,23,69.527
b95df9e6,explore,190,70.194
37c57dbc,explore,43,106.626
38ac7e9b,explore,107,178.761
399d158b,query,17,333.604
b8dd440e,explore,76,78.784
b8ab5899,explore,461,113.263
38dadc41,explore,30,108.611
36413a23,explore,87,111.825
38937049,explore,169,118.067
b90c5840,query,53,455.164
b856720f,explore,22,61.830
37dff849,query,237,459.734
b89c360a,welcome,7,25.066
37a82a7e,query,64,389.213
38ab8d7f,explore,22,126.032
385b623b,query,84,320.407
b9893389,explore,28,110.712
371e3a21,explore,22,149.673
b6a0a726,query,17,475.637
b92f2f94,,16,
380b954e,explore,314,134.255
38aeed0b,query,176,424.568
b90334f8,index,4,64.431
3878a57d,explore,482,18.847
b8bacf06,query,130,346.355
36ed3039,,18,
399042f2,explore,75,65.297
b90d34cb,explore,48,69.225
b940485f,explore,28,150.028
37de11b8,explore,314,194.806
389b6955,welcome,7,27.815
390170d2,,12,
3858a90b,query,61,359.698
39341037,welcome,7,37.368
392b1d81,index,5,43.231
3941931d,explore,22,89.735
b9089ee8,query,323,279.064
38fc0392,explore,101,98.212
b6a6b774,explore,94,145.534
37ac4473,explore,134,154.953
b89a3dfc,explore,63,102.079
39432455,explore,143,95.384
36124279,query,91,431.078
3878a57d,welcome,80,29.830
b8f28a24,explore,82,60.692
b8c91f40,explore,22,98.260
38df9237,explore,189,113.875
3919f970,explore,22,147.214
b85de11e,query,34,337.619
b91b0f7b,,14,
b9584ed5,explore,68,86.836
b873ff03,explore,242,161.876
b824e5f3,query,47,456.138
b841d8cb,explore,22,137.135
39007e90,explore,159,178.011
39204937,query,240,420.600
37e1894f,index,14,34.121
38aa2a71,welcome,10,29.530
38ac7e9b,query,202,359.862
380b954e,query,37,284.608
b8380f86,query,17,453.077
b9863787,welcome,55,35.199
b8d23a66,welcome,7,32.395
39204937,query,113,250.264
38fb24c3,,68,
b865e455,query,51,322.464
385b623b,explore,22,110.166
376a31f7,explore,97,155.623
b7a489a1,welcome,7,36.322
3854a6d5,query,138,387.829
378a7a9a,explore,22,65.261
37a82a7e,explore,140,57.114
b785749f,explore,22,114.673
385ba5ea,explore,37,116.725
3851b378,welcome,7,25.059
3850b5be,explore,22,42.623
37d123f1,query,284,325.735
b8b7ba1e,welcome,49,11.361
3833f03c,query,24,488.773
b8136484,explore,22,167.464
39746f30,query,105,343.982
b7aa7170,explore,29,149.766
b971b013,query,101,403.893
b798ef62,query,176,356.931
b89113df,query,51,242.128
37d59f5c,query,191,432.622
391d9538,query,174,427.991
39a559e2,query,50,385.277
b88acb3a,query,22,471.408
b83093aa,query,135,452.331
391bfc51,explore,57,151.962
b894b6e7,,10,
39460216,explore,265,98.468
3851b378,explore,572,165.956
b85ea5e5,query,208,347.771
394ddfd9,index,4,57.614
b963ff2b,explore,43,130.326
380d570e,,10,
b6acd2e3,query,161,257.035
b8d2a7ee,welcome,13,18.845
3810645e,welcome,23,34.187
389fb3f5,welcome,15,19.785
b7d7b7e1,explore,282,138.041
b8f64134,explore,191,109.825
b85ea5e5,index,19,55.575
b8136484,query,173,354.655
394cb0da,query,19,532.412
b8e03e49,index,32,48.837
b8f2b75c,query,75,505.581
b90e3c5f,,10,
382f758f,index,19,36.348
b84235d6,,53,
3801b442,query,47,443.481
36124279,explore,22,82.929
b8cd58c8,query,17,427.603
38570593,query,39,342.047
374db7d1,query,210,381.656
361ab558,query,42,300.784
37d59f5c,query,274,430.578
373370a7,query,17,376.848
b964410c,explore,22,151.523
38d0501b,explore,96,98.604
38843f18,explore,242,144.036
38aa2a71,query,38,450.793
38d0501b,explore,33,81.141
b5dced94,explore,22,91.859
b85ea5e5,explore,163,102.901
381b3616,welcome,7,25.044
b854ef43,index,20,16.369
376a31f7,explore,46,117.701
38b7cf6f,explore,136,130.403
3810645e,explore,22,118.355
385b623b,query,93,496.167
3919f970,query,17,410.485
3932a5dc,query,39,321.792
b7b918b6,welcome,51,44.824
3824ecdb,query,137,458.188
b8bc718f,explore,165,104.349
3779aa78,welcome,67,23.703
37debbd5,query,17,433.444
372dd8d5,query,42,296.638
38664594,welcome,7,27.524
b8f2b75c,explore,151,124.767
b97853da,query,20,443.266
388be9d2,,17,
b8e11809,explore,121,58.516
3824ecdb,welcome,32,33.862
b7b918b6,query,68,385.488
3897cb37,index,13,34.798
b866df57,welcome,17,42.920
3874325c,explore,82,105.079
38b4efea,query,70,395.194
399042f2,,81,
37c18db6,,19,
b891e22a,explore,72,147.355
3932a5dc,,18,
374db7d1,index,31,68.975
38a33852,welcome,21,25.399
b909b2c9,,104,
3851b378,query,17,281.632
380b954e,query,29,369.866
b8cf0f2c,query,29,339.826
b8f250c1,explore,77,139.645
379a2fde,,105,
3824ecdb,query,142,417.125
39125418,,10,
